"回答日時","受付番号","回答ユーザ","第８回:キーワード①","第８回:キーワード②","第８回:キーワード③","第８回:キーワード④","第８回:キーワード⑤"
"2022/06/09 16:56","6522","29021218","言われたら100返したい","サービス精神","立ち上げを専門でする会社","秘書代行","ゼロイチやるのが好きだった"
"2022/06/09 16:56","6519","26020046","みんなの前で褒める","ブームから文化へ","失敗は経験","心の声をきく","打ち込めるようなことを見つける"
"2022/06/09 16:56","6520","25019169","ブルーボトルコーヒー","マルチカルチャー","人材エージェント","キャリア","経営者"
"2022/06/09 16:56","6518","25020526","感謝","話し合い","集中力","人の心を動かす","学び"
"2022/06/09 16:56","6517","24020210","街を一緒に盛り上げる","マルチカルチャーで働く上で、褒めたりフィードバックを行うことが大事","ブームから文化へ","任されるのは頼られているということ、その積み重ね。","失敗は経験となる"
"2022/06/09 16:56","6516","27020218","どういう人と働くかが大事","人の期待にこたえたい","みんなの前で褒める","失敗した方がいいこともある","前に進むことが大事"
"2022/06/09 16:56","6515","23020266","バイトを通して自己分析をする","失敗して怒られた経験から学ぶ","仕事を選ぶ上で自分が好きだと思うことを軸に持っておく","学生に間に色々な経験をする","選択した責任は自分で取るという意識が大事"
"2022/06/09 16:55","6514","26020184","マルチカルチャーの中で働く時に意識してることは褒める","人から必要とされると嬉しい、その積み重ねがやりがいにつながっている","ブランドとしてやるべきことと、労働者のニーズの汲み取り方を意識","学生の間にたくさんの経験を積む、価値観を磨く","部下と一緒に体感することが大事、共有しながら何かを作っていく"
"2022/06/09 16:55","6513","22020421","アルバイトなどの経験から自分の向き不向きを探してみる","新人に任される仕事は運で決まる","仕事で実績を積むことで信頼を得る","流行を文化にする","同僚とのコミュニケーションを大切にする"
"2022/06/09 16:55","6512","29021347","褒めることは大事","言われたことに100%で応える","マネジメントではレコグニションが大事","国の違いを聞き入れる事も大事","人生は双六のように考えている。休むことも良いこと。"
"2022/06/09 16:55","6511","23020554","ブームから文化へ","目の前にあることを成し遂げる","やりたいと思ってた世界観の実現","会社の目指す世界観とお客さんのニーズをどうやってつなげるか","アップデート"
"2022/06/09 16:55","6510","25019535","様々なアルバイトを通して、自分が何に向いてるかの気づきを得る","なんでも1人でやるという環境から自分で開拓する事を得た。","夏休みなどの長期休みには様々な海外へ旅立ち発見を得る。","深く考えず行動してみる！","分からないことは自ら積極的に聞き教えてもらう。"
"2022/06/09 16:55","6509","25022573","アルバイトをしておく","自分の大学をすきになる","大学での繋がりを大事にする","繰り返しやることが大切","今できること、打ち込めることを見つける"
"2022/06/09 16:55","6508","24020472","色々なバイトをして自分のしたい事、適正を見つける。","0から1を生む。","海外のスタッフと心を通わせる。","その土地の文化を理解する。","人との繋がりが大切。"
"2022/06/09 16:55","6507","23020475","気をつけていることはみんなの前で褒めること","任される＝頼られる","流行りにしてしまうと、終わりが来てしまう","人生はすごろくであり、ピラミッドじゃない","日本人は不確定なことに弱い"
"2022/06/09 16:55","6506","32020505","アルバイトの経験を通して自分を知る","職種別採用","仕事を任される＝信頼されている","０から１にする","知らないことを現地に足を運んで、積極的に聞いて教えてもらう"
"2022/06/09 16:55","6505","24022184","CBO","秘書","留学することの大切さ","マルチカルチャー","バイトから学ぶこともある"
"2022/06/09 16:55","6504","22020377","研修","業務","開拓","全国","営業"
"2022/06/09 16:55","6503","22021358","自分の好きなことで仕事ができる","仕事で関わる人に対する感謝","自分の人生で出来ることの重要性","学生時代にできることをする","ゼロから一を立ち上げる"
"2022/06/09 16:55","6502","31020522","自分の足でいろんなとこに行く","ブームから文化へ","共有することの大切さ","個性があっていい","一緒に体感すること"
"2022/06/09 16:54","6501","25020037","0から1の仕事の大変さ","街の珈琲屋でありたい","露出する時はストーリーを書いてくれるところ","私たちのやってきたことがか私たちの信じていること","失敗は経験"
"2022/06/09 16:54","6500","22020875","学生時代アルバイトをしながら何が自分に向いているのか考えていた。","新入社員でも０からの仕事を任されることがある。","0からの仕事もしっかりこなしていく。","自分からいろいろなことを勉強しにいく。","自分の会社の歴史や大切にしていることを理解する。"
"2022/06/09 16:54","6499","31021350","自分の適性を様々な経験から見極めをする","仕事に対して真摯に取り組み、結果を出す","ブランドを流行りでなく文化にするという心意気","若いうちに失敗をしておく","自分自身を価値のある人間に育てる"
"2022/06/09 16:54","6498","34021271","他人期待がモチベーションに変わる","自分の考えを共有することは大切である","論理的考え方、学びが大切","失敗を恐れない","初心を忘れるないことが大切"
"2022/06/09 16:54","6497","25021478","社長と私","まずは好きか嫌いかを言ってみよう","縦と横","思い立ったらすぐ","みんなの前で褒める"
"2022/06/09 16:54","6496","24021114","さまざまなアルバイトから社会経験を得る","適正を見極めるために、さまざまなことに触れる","仕事に誠意を持って取り組む。","任されるために、実績を出し続ける。","ブームから文化を知る"
"2022/06/09 16:54","6495","29020498","意志を繋ぐ","前に露出しない","一緒に育てていく","敵を作らない","人生はすごろく"
"2022/06/09 16:53","6494","24021240","学生生活の中でアルバイトから自分の仕事の適性を見つけることもできる","人の夢をサポートする喜び","人の夢をサポートする喜び 仕事をする責任と、周りに及ぼす影響を考える。","誠意と、結果を出し続ける","新しいことに自ら進んで勉強する"
"2022/06/09 16:53","6493","38021232","任されるのは信頼されていることなので、その積み重ね","言われたら100返したいと思って仕事している","ブームじゃなくて文化に","人生はすごろく、休みも戻るもあってよくて、それで進める","失敗は経験なので好きだと思うことにトライしてみる"
"2022/06/09 16:53","6492","26021579","やりたいことを見つけるまでは、迷うことも大切","経験値を踏むことの大切さ","就職においてのブランディングの大切さ","グローバルな視点を持つことの大切さ","泣くほどの経験は、成長の糧になる"
"2022/06/09 16:53","6491","25021083","マネジメントで大切なのは｢見てるよ！｣","国による違いをできるだけ聞き入れつつも妥協を許さない","押し出しすぎず敵を作らないブランディング","ブームから文化への変化","人生はすごろく、ピラミッド型に捉えてしまうと動けなくなる"
"2022/06/09 16:53","6490","29021232","興味を絞る時に違う方向でも絞ってみる","やるかやらないか、やると決めたらやる","人生はすごろくだ","大学とかで行ったことは全部つながっている","頭で考えた時の判断は鈍る"
"2022/06/09 16:53","6489","23021353","アルバイトで自分の適性を見つける","たくさん失敗する","ブームを作りブームを文化に変える","心の声を聞く","信頼や実績を得て仕事を任されようにする"
"2022/06/09 16:53","6488","24022066","アルバイトは将来いきる。","自分の特性を知る","自分のしたいことをするのが大切","人との繋がりを大事にする","しんどいこと、大変なことも楽しんでやる！"
"2022/06/09 16:53","6487","29022158","任されるということは頼られているということ","仲間が財産","好きだと思うことにトライする","若い時にたくさん失敗すべき","今できること、うちこめることを見つける"
"2022/06/09 16:52","6486","25020615","チームで動くことは大切","人のために頑張る","0から1","ブームより文化","心の声を聴く"
"2022/06/09 16:52","6485","26020174","学びが後の人生で繋がりを作ることがある。","任され続けるということは、誠意を持って仕事に取り組んだ証拠。","自分でやるしかない。やるからやらないか、やると決めたらやる。","ブームから文化へ。文化にするということは地元の方々を大事にすることが必要。","縦ではなく、前に進むべき。前に進んだ事で得た学びが深みを作り、人生を豊かにする。"
"2022/06/09 16:52","6484","31021587","任されることの意味や重要性","相手へ返すことの大切さ","一つのミスが個人だけではなく所属する団体のイメージの変化にもつながる","頼られることと実績を残すことの関係性","これまでの経験で繋がってきていた様々な会社のつながり"
"2022/06/09 16:52","6483","32020563","褒める","アルバイトを通して自分のことを知る","すると決めたら最後までする","成果を出して信頼を得る","その場その場で頑張ることが大切"
"2022/06/09 16:52","6482","37022430","信頼されないと任され続けることはない","ブランドはブームを作るもの","ブームから文化を作ることが大事","失敗はどんどんやった方がいい","好きだと思うことを恐れずにトライする"
"2022/06/09 16:52","6480","34021163","選択","自己の適正","失敗からの学び","学生時代の経験","繋がり、ネットワーク"
"2022/06/09 16:52","6481","24022248","町の文化を作る店を目指した","外国人の上司","仕事を辞めてもそれが今につながっている","自分の会社が大切にしていることをたくさん学ぶ","ブームを文化にする"
"2022/06/09 16:52","6479","25017400","必要とされる喜び","怒られる経験","自分なりに理解","ブームから文化","いろんな仕事を楽しむ"
"2022/06/09 16:52","6478","31021607","チームワーク","リーダー","自分の趣味を活用する","ブランドはブームを作る","いろんな所で勉強、経験する"
"2022/06/09 16:52","6477","31020377","褒める(外国人とのコミュニケーションのコツ)","アルバイトを通して自分のことを知る・したいことを探す","成果を出して信頼を得る(新規事業を任されることにつながる)","やると決めたらやる","その場その場でがむしゃらに頑張る気持ちが未来の人生に繋がる"
"2022/06/09 16:52","6476","22020561","コーヒーにも特徴がある","海外旅行に投資していた","留学セミナーを仕事にしていた","企業の立ち上げを専門として学びたかった","やるかやらないか、やると決めたらやる"
"2022/06/09 16:52","6475","25021475","マルチカルチャーの場では「褒める」が大事","マネジメントにおいては「見てる」が大事","押し出しすぎない","人生はすごろく","ブームから文化へ"
"2022/06/09 16:52","6474","22020079","キャリアチェンジ","海外旅行への投資","ブームから文化へ","文化に繋がるということ","知らない土地は行ってみることの大切さ"
"2022/06/09 16:52","6473","24022817","大事なものをしっかり守ることが今の仕事の魅力","見て覚えるということを鍛えられた ","私たちがやってきたことに自信を持つ","やってきたものが私たちの信じてきたこと","守るべきことは守る"
"2022/06/09 16:52","6472","31021588","大勢の職場はチームワークがとても大切である","リーダーの指示で終わりが変わってくる 自分がリーダーの場合はみんなに適切な指示を出したい","学生の間にいろんな経験をする","ピラミッド的にキャリアを考えてはいけない","現地の人との会話 直接人の意見を聞くことの重要さ"
"2022/06/09 16:51","6471","26022353","変化を恐れずに行動すること","会社のカルチャーを建物に用いることでモチベーションアップ","デザインに対するアプローチはその会社が主に扱うものにして他の色を備えていけばいい","頭で考えても失敗する人は考える前に行動することが大事","仕事をして関学を離れると関学の良さがわかり関学館のネットワークは有効に利用する"
"2022/06/09 16:51","6469","38022042","ある選択が間違いだったのか、と感じることがあっても、その行動の責任は自分で取れば良い話であるため、様々なことを選択し、挑戦するべきである。","ブランド、というものはブームを起こすとともに、ブームから文化を生み出す効力を持つ。","若いときほど失敗をつむことは大切であり、また、失敗は経験となるため、自分の好きなことに挑戦するべき。","頭で考えた判断よりも、心の声（自分の本当の気持ち）に基づいた判断の方が良い選択となり得る。","今後、AIに仕事を奪われてしまうことに備え、人にだけできる、感じる力、生み出す力を養うことが大事となる。"
"2022/06/09 16:51","6468","31021571","アルバイトの経験から、人を支える仕事が向いていると感じたため、現在の職を選んだ","有馬温泉でのアルバイトでは、チームで何かを成し遂げることの大切さを知った","仕事のやりがいは、人から必要とされることを積み重ねていくこと。期待に応えたい。","仕事を任され続けることは成果を出し続けたということ","好きだと思うことをどんどんトライする。心の声を聞く。"
"2022/06/09 16:51","6467","23020172","失敗も経験","言われたら１００で返したいと思う気持ち","心の声を聞く","目の前のことから成し遂げる","自分で感じたことを共有する"
"2022/06/09 16:51","6466","25020483","マルチカルチャーの中で働く","アルバイトを通して自分の適性を見つける","新規事業ではいかにブランディングできるかが重要","仕事を任し続けられるということは信頼されているということ","留学の経験が様々な仕事に生きている"
"2022/06/09 16:51","6465","31020021","詳しくないことでも、積極的な姿勢を見せる","歴史や大切なものを理解することが大切","自分で足を運んで、話をする","ブームで終わらせず、文化にする","街も巻き込んで変化を起こす"
"2022/06/09 16:51","6463","26021574","秘書バイト","アルバイトを通じて自分を知る(自己分析)","任されるということは信頼されてる証拠","転職した仕事ほぼ全てが0からだったが、実績を出している","マネジメントにおいては、褒めるのが大事"
"2022/06/09 16:51","6462","31021030","褒めることが大事","0から1にする仕事をする","見てるよ、と言ってあげることが大事","ブームではなく、文化に","人生は双六"
"2022/06/09 16:50","6461","31021021","透明性","目標を見つける","ほぼ０からのスタートでも頑張れば何とでもなる","信頼されることが重要","常に目の前にあることを成し遂げていく"
"2022/06/09 16:50","6460","25019082","ブランド力を消耗","敵を作らない","人生はすごろく","失敗したことから得た学びは豊か","一歩踏み出す教育"
"2022/06/09 16:50","6459","25020387","仕事は何を任されるのかは始めは予測できないが、1つ1つの仕事に真摯に取り組むことで次から次へと仕事が任されていくようになる。","過去の経験の積み重ねが、将来に繋がっていく。","失敗から得ることはたくさんある。","失敗は経験になるので、まずは頭でっかちにならず、好きなことに挑戦してみる。","自分たちが信じるものや、自分たちの感性を大切にする。"
"2022/06/09 16:50","6458","34020255","様々な国","ブルーボトル","暮らすように生活する","ブームから文化へ","現地スタッフ"
"2022/06/09 16:50","6457","32022591","セミナーで個別に面談を受けることができる","心が折れそうになっても頑張ることが大事","ビジネスを英語でするのは大変","資料請求の多い地域で講演をする","社員は英語を話せた方が役に立つ"
"2022/06/09 16:50","6456","24021001","授業で学んだことが今に繋がっている","若い時に失敗してよかった","同僚をほめる","頭ごなしに否定しない","休んだり、三歩下がったりすることも含めて前に進んでいる"
"2022/06/09 16:50","6455","25020098","学校生活、アルバイトの中で自己分析","任される＝信頼されている、必要とされている","他の国の文化の違いを受け入れる","学生時代にたくさんの経験、失敗をしておく","やりたいことはとりあえず1度やってみる"
"2022/06/09 16:50","6454","23021274","何を目指すかわからない時に横軸で見て様々なものに触れる機会を作ることでやりたいことを見つけたり自分の適性を見つけたりすることができる。","小さいことでも人から必要とされる仕事をすることが仕事のやりがいになる。","自分の好きなことやできるスキルを活かせる場所を見つけられると最終的なキャリアにつながる。","企業に入ってからも自分で学んだスキルがあればそれを生かすために転職することもある。","目標があるから動くのではなく不確定の中でも一歩踏み出す覚悟を持つことが重要である。"
"2022/06/09 16:50","6453","31022374","ブームから文化へ","この人と働きたいと思う人と働く。組織のあり方はそのあと","仲間が財産","いろんなことを経験したり見たりすることが大事","今できること、打ち込めることを探す"
"2022/06/09 16:50","6452","34021118","アルバイトを通して自己分析をする","自分の感じることを周りに共有する","経験を積むこと","人生はすごろく","自分の足で知識を増やす"
"2022/06/09 16:50","6451","22022668","知らないことは積極的に教えてもらう","常に目の前にあることを成し遂げる","大学時代の仲間は財産","頭でっかちになりすぎない","人間ならではの感じる力から新しいことが生まれる"
"2022/06/09 16:49","6450","25021445","自分で切り開いていく","任されるということは信頼されているということ","結果が出ると人前でほめる","国ごとの違いを大切にする","人生はすごろく"
"2022/06/09 16:49","6449","23020394","何したいかわからない","人から必要とされることがやりがい","期待にこたえたい","サービス精神旺盛","成果を出し続ける"
"2022/06/09 16:49","6448","26021554","マネジメントにおいては、「見ている」ということが大事","ビジネスで提供する価値は、ブームではなく文化にすることに意味がある","学生時代の仲間とのネットワークの幅や深さ、繋がりが人生を豊かにする","将来のことよりも、まずは自分が好きだと思うことからトライしてみるのが大事","考えた時の思考は濁るから、あまり考えずに進むことが大事"
"2022/06/09 16:49","6447","22021632","ブランド共感","マルチカルチャーで働けてることが刺激的","人から学ぶ","体現がブランドにつながる","失敗からまなふ"
"2022/06/09 16:49","6446","25020235","褒めること","お金を稼ぐ重要性","自分がどう感じるか共有する","人生はすごろくのように休んでも良い","ピラミッドのようにキャリアを考えない"
"2022/06/09 16:49","6445","31020122","ブルーボトルコーヒー","一緒に街をつくりあげる","引き抜き","   ","   "
"2022/06/09 16:49","6444","25020068","学生時代の過ごし方","就活のやり方","仕事のやりがい（人に必要とされる）","結果が出たらみんなの前で褒める","人生はすごろく"
"2022/06/09 16:49","6443","31021311","ローカライズをどうするかが肝になる。","初めは批判されることもある","人生はすごろく　休みもあっていいし振り出しに戻っても3歩戻ってもいい","今打ち込めることを頑張る","打ち込めるもののきっかけは何かわからない"
"2022/06/09 16:49","6442","24021360","ブームを文化に","現地スタッフとこころかよわせる","任され続けるためには成果を残し続ける","選択した責任は自分でとる","新しいことをはじめるのはたのしい"
"2022/06/09 16:49","6441","22021310","自分の仕事には誠意をもって取り組む","誠意をもって取り組むと成果がでて、信頼を得ることができ、任され続ける","知らないことでも積極的に知ることで自分なりのアプローチを見つけることができる","ブームから文化にしていくことを大切にしている","キャンパスライフを楽しみながらも何か１つ一生懸命頑張れることを持つ"
"2022/06/09 16:48","6440","24021329","褒めて伸ばすこと","責任感の強さ","不確定な状況に対する耐性","感性を研ぎ澄ますためには経験が大事","人生はすごろくみたいなもの"
"2022/06/09 16:48","6439","25022625","成果を認めること","失敗から得られる経験もある","人生設計は横の広がりで考える","心の声を聞く","今できることにうちこむ"
"2022/06/09 16:48","6438","27020610","褒める","０から１","つながりの大切さ","人生はすごろく","失敗してもいい"
"2022/06/09 16:48","6437","26020144","従業員が持ってる他文化を、認めて褒める、尊重することが大切","後々の人生につながる学びが学生時代にはある","人の期待に応えることで得られる達成感","マネジメントにおいて、しっかり見てあげること、褒めてあげることが大事","空間や環境など含めてすべての体験がブランドにつながる"
"2022/06/09 16:48","6436","22020126","バイトの経験は必ず活かせる（有馬温泉でチームワーク・・・）","関心のある分野への視点を変える（横に広げてみてみる）","怒られた経験で伸びる","目の前のことに着実に取り組む","ネットワーク、コミュニティを広げておく"
"2022/06/09 16:48","6435","26020169","進路を消去法で選ぶのもアリ。","同期と違う仕事で苦労したが、その分スキルアップした。","真剣に考えたものに疑問を持つことになった。","やると決めたらやる。","ブランドとしてやるべきことと、ニーズの読み取りを意識している。"
"2022/06/09 16:48","6434","26022264","自分で開拓していくしかない","人から必要とされると嬉しいという積み重ね","国によって何が大切かを考える","「見てるよ」っていうのが大事","みんなの前で褒める"
"2022/06/09 16:48","6433","29021384","褒める","様々なバイトを通じて自分の適性を知る","必要とされたら全力で応える","考えてもわからないものはわからない","やるかやらないかでやると決めたらやるだけ"
"2022/06/09 16:48","6432","24022513","大事にする事を学びながら仕事","文化によって違うことがある","英語の力を伸ばす","疑問を投げかける","失敗した方がいい"
"2022/06/09 16:48","6431","29021255","学生の間に学んだことは将来の仕事に直接寒けなくても、何かのきっかけでつながり、ためになる","アルバイトなどを通して自分を分析する","何においても協力することが大事であり、どんな人と働くかもとても重要である","任され続けることも自分を大きく成長させることができる","一瞬のかかわりであっても心を通わせることが大切"
"2022/06/09 16:48","6430","25021225","大学時代に秘書などいろんな仕事に関わったバイトをした話を聞いて、そうした経験は絶対に役に立つと思った。","転職を何度もしていた話から、やりたいと思ったらすぐに行動してみることが大事だと思った。","帰国子女であったり留学経験があったり語学が強いことが大きな武器になっていると思った。","海外での仕事のお話を聞いて、日本と違う文化の場所で仕事をするのは面白そうだと思った。","自分のしたいことを見つけるためにいろんなことをしてみようと思った。"
"2022/06/09 16:47","6429","22020442","人の夢を叶える手伝い","任され続けるのは信頼されている","空間を一緒に体感する","0から立ち上げる仕事を経験した","秘書のバイトで責任と1社の大切さを痛感した"
"2022/06/09 16:47","6428","31021547","何を自分ができるのか、自分の経験から自分の自己分析を行なっていた","やりたいことがないことは選択できる幅が大きい","とりあえず一歩を出すことが大事","期待を持って自分のやりたいことを探していた","みんなの前で褒める"
"2022/06/09 16:47","6426","37021496","つながりを多く持って、大切にするべきだ","頼まれたものは100で返せるようにしておく","積み重ねによって必要とされるようになる","失敗した方が前に進むことができるので良い","仕事は経験がないと大変である"
"2022/06/09 16:47","6427","25022026","要求がきつくてもめげない","どんどん発展性を求める","信頼され続けるためには実績","地元のことを考える","若い時はどんどん挑戦"
"2022/06/09 16:47","6424","23021227","有馬温泉のアルバイトや秘書のアルバイトで自分の適性を見つける","心の声を聴く","若いうちにたくさん失敗する","ブームを文化にしていく","信頼や実績を積み重ね、仕事を任され続けるようになる"
"2022/06/09 16:47","6425","24022312","アルバイトの中で自分の適正を見つけた","実績を出さないと仕事を任され続けることはない","人生は双六","ブームから文化へ","現地の人との交流を大切に"
"2022/06/09 16:47","6423","26020416","人材育成をする上で大切なことは、相手の仕事ぶりを認知することと相手の意見を聞くことである。 認知することは相手にとっても仕事を見てもらえてるという喜びにつながり、お互いにとってのメリットになる。","最近はネットがあるが故に、興味関心のある分野を調べるうちに挑戦できなくなっているし、日本人は失敗はダメと考えている人が多い。しかし、失敗する方が学びが多く経験が増えるため、失敗を恐れず果敢に挑戦する方がこれからの人生が豊かになる！","日本人はストレス耐性があまりなく、一歩踏み出して挑戦する人が少なく、不確定な状況に飛び込むことが苦手な人が多い。しかし未知の世界に飛び込んでから次の人生の歩み方を考えることも良し！","頭で考えるよりも心の声を聞く。恐れることで自分のやりたいことにストッパーをかけるよりも、心の声を聞いて人生を生きていきたい。","2045年にシンギュラリティがやってくるかもしれない。AIが人間の知能を超えた世界で大切なことは、誰と仕事をするかだと思う。仕事はAIがやってくれるので、私たち人間は一緒に働きたい、一緒に時間を過ごしたいと思える人になれるかどうかである。"
"2022/06/09 16:47","6422","29021122","時間が経ってからキャリアに繋がりが見えてくる","流行には終わりがある"," 考えてもわからないし、自分でやるしかない","考えはアップデートされる","感じる力を鍛えるために、経験が大切"
"2022/06/09 16:47","6421","25020346","実績を出さないと任され続けない","失敗した方がいい","人生はすごろくで休みがあっていいし、戻ることがあってもいい","失敗をした方が人として厚みが出る","ブームから文化へ"
