担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,類似度,参考情報, ,NGワード数,NGワード一覧,再履修
森,22019049,若いうちに怒られた経験をポジティブに捉えて自分と再度向き合うきっかけにした。,新規事業において「ブームから文化へ」というテーマを大切にして徹底的にブランド作りを行い成功に導いた。,不確定な状況に対する耐性が日本人は弱いため一歩踏み出す勇気を持っても良いのかもしれない。,「失敗を沢山する」失敗は経験なので若いうちに好きなことにトライして熱中できることを見つける。,頭でっかちになって考えるのではなく自分の心の声を聞いて直感を信じた選択をした場合成功することが多い。, , , ,,,, , ,0,,再履修
森,22019706,任されることは頼られる、信頼されるということ,国の違いを受け入れる,まずは好きと嫌いを言ってみる,常に目の前にあることを成し遂げる,好きだと思うことをまずトライしてみる, , , ,,,, , ,0,, 
森,22019709,マルチカルチャーでは褒めることが大切,任されることは頼られる、信頼されるということ,目の前にあることを成し遂げていく,変化の中でアップデートしていく,繋がりは大切, , , ,,,, , ,0,,再履修
森,22020038,自分で自分の分析をすること,信頼されているという自覚を持つこと,何の違いを理解すること,日本人にはない力を理解すること,キャリアに対しての考え方を、すごろくのようにすること, , , ,,,, , ,0,,再履修
森,22020039,当時はやりたいことがあまりわからなかった,アルバイトばっかりしており、有馬温泉のバイトが印象的なバイトだった,怒られた経験が若い頃にあってよかった,考えてもわからないし、自分がやるしかないので、やると決めたらやる,自分がこれをやった、これを頑張ったと言えることが学内であったらよかった, , , ,,,, , ,0,, 
森,22020048,ブームから文化をつくる,仕事に対して誠意をもって向きあう,自分の適性を理解する,学生時代の経験が大切,やるかやらないで迷うならやる方を選ぶ, , , ,,,, , ,0,,再履修
森,22020061,それぞれの国の文化を大切にし、理解しようと努力する,やろうと思ったらやる,今できる最大限のことをする,後輩には褒めたり、見てるよということをきちんと伝える,過去や現在の繋がりを大切にする, , , ,,,, , ,0,, 
森,22020098,会社の目指す世界観とお客様のニーズ,失敗は経験,好きだと思ったことをトライしていく,心の声を聞く,頭で考えた判断は鈍る, , , ,,,, , ,0,, 
森,22020107,任されることは信頼されていること,色々なことを経験する,自分の感性を信じる,失敗は経験,心の声を聞く, , , ,,,, , ,0,,再履修
森,22020177,ほめることがやる気に繋がる。,信頼されることで任され続ける。,様々な経験を積むことで完成を研ぎ澄ます。,前に進むためには失敗も必要。,頭で考えると判断が鈍るので心で考えることが重要。, , , ,,,, , ,0,,再履修
森,22020189,人から必要とされることの活力,ブランドとしてやる事とニーズを複合的に考えること,ブームは終わりを迎えるが、文化は続いていくものであること,頭で考えすぎずに挑戦していくことの大切さ,人とのつながりが将来、ネットワークを形成しうること, , , ,,,, , ,0,, 
森,22020340,コーヒー,ハワイ,フランス,アルバイト,心の声, , , ,,,, , ,0,, 
森,22020434,ブランディング,ゼロイチの考え方,自分の考えを共有する,サードウェーブ,敵を作らない, , , ,,,, , ,0,, 
森,22020445,コーヒー,秘書,人材会社,頼られる,トリドール, , , ,,,, , ,0,,再履修
森,22020493,国の違いをリスペクトし聞き入れることが大切,自分たちがやってきたことが自分たちの信じていること,人生をピラミッド型で考えすぎると動けなくなってしまう,失敗は経験なので頭でっかちにならずに好きなことに挑戦する,こころの声を聞く, , , ,,,, , ,0,, 
森,22020501,様々なアルバイトで適性,０から１を立ち上げる,仕事に誠意をもって成果を上げる,ブームから文化を作る,今打ち込めることをする, , , ,,,, , ,0,, 
森,22020633,任せる続けることは誠意をもって実績を出さないといけない,今できること打ち込めることをする,ブランドっていうものはブームから文化にしていく,現地のスタッフと心を通わせる,前に進むことが重要だ失敗してもそこで学ぶ, , , ,,,, , ,0,, 
森,22020690,失敗を経験するからこそ豊かな人生になる。リスクを考えすぎずに新しい環境に飛び込んでみる。,自分と相手の両方の立場を尊重する。相手の意向に沿えないときは、代替案を提案して寄り添う姿勢を示す。,感受性を鍛える。自分の知らない場所や人との出会いを通して視野を広げることは、仕事にも役立つ。,人に頼ってもらえることは信頼の証。頼ってもらえることに感謝して、それを原動力に仕事に邁進できる。,仕事仲間との関係を大切にする。人間関係を良好に保つことで、仕事にも良い影響がある。, , , ,,,, , ,0,, 
森,22020724,リトライ,転職,新規事業,逆算,コンセプト, , , ,,,, , ,0,,再履修
森,22020740,海外の方たちと働くうえで大切にしていることは「ほめる」こと,転職する際にはこれまで在籍していた企業とのつながりが活きた,学生時代のアルバイトの経験が社会人になってからも活きた,人生はすごろく、「一回休み」や「ふりだしに戻る」があってもいい,失敗は経験、考えすぎずにチャレンジしてみることが大切, , , ,,,, , ,0,, 
森,22020776,業種より自分のやりたい職種で就活に取り組むこと。,さまざまなアルバイト経験から自己分析につなげること。,０からの事業の立ち上げの大変さとおもしろさ。,ブームから文化へ。地元の人をまず大切にすること。,自ら新しい仕事から学んで成長していく姿勢。, , , ,,,, , ,0,, 
森,22020821,井川沙紀,職種別採用,人から必要とされる,広報,事業を作る, , , ,,,, , ,0,, 
森,22020857,会社の席がフリーになっている毎日新鮮な気持ちで仕事をできるため、アイデアが生まれやすいのでは。,コーヒーはフルーツなのにフルーツとして扱われていないコーヒーがフルーツという考えがなく驚きました,有馬温泉や秘書のアルバイト人生の選択に向けたキーワードはどこに落ちているか分からない。,研修後子会社配属に未来はどうなるかは分からないからこそ面白いんだと感じ私も将来がワクワクします！,第一志望の会社最終面接前に発熱当時は失敗だと思ったことも数年経つとなるようになっていたのだと学んだ, , , ,,,, , ,0,, 
森,22020863,とにかく褒めて行く大切さ,横軸、縦軸がないと自分がわからないという事。,アルバイトを通して自分が何に向いているのか分かったという事。,任させれ続けらために信頼を得るという大切さ,会社の目指している世界観とお客様の求めているニーズを合わせて考えていく。, , , ,,,, , ,0,, 
森,22020867,自分の感覚や考えをみんなで共有することは大事,若いうちにたくさん失敗した方がいい。失敗は経験,人生はすごろく前に進んでいたらいい。休む日もあってもいい,ピラミッド的にキャリアを考えてしまうとネガティブになってしまう,心の声をきくこと, , , ,,,, , ,0,,再履修
森,22020892,人間関係,大学でのつながり,経営者としての責任,学生でしかできない経験,今回の話を聞いて部活動やサークルでの出会いが大切であることを改めて感じた。, , , ,,,, , ,0,, 
森,22020951,まかされるということは信頼されているということ,考えても分からないしやるかやらないかは自分だしやると決めたらやる,上に行けているかいないかで考えてしまうと動けなくなってしまうので失敗してもいいから前に進むことが大事,失敗は経験なので好きだと思うことにどんどん挑戦していくことが大事,頭で考えたことの判断は鈍るので心の声をきいて判断した方が物事がうまくいく, , , ,,,, , ,0,, 
森,22021018,どの先輩方もおっしゃりますが全ての経験が自分の力になるため、色々なことにチャレンジする。,大学生のうちにサークルやバイトなど人と関わることをして、人との関係を作る。,会社のモットーややりたいこととお客様のニーズが合うように仕事をする。,何かをするためには絶対に、情報を得る必要がある。そのために人に「聞くこと」は重要になってくる。,1から何かを作るのではなく、0から1を作り上げることの面白さや難しさ。, , , ,,,, , ,0,, 
森,22021028,どういうミスをしたのかよく考える,人生はすごろく,目の前にあることをしっかり成し遂げる,好きだと思うことにトライ,心の声を聴く, , , ,,,, , ,0,, 
森,22021064,学生時代にアルバイトなどの経験を積んで自分の適性ややりたいことを見つけられること,失敗を経験することで自分の役割に対して責任を持つようになったり学びを得られたりできること,任された仕事には誠心誠意応えることで信頼されてまた次の仕事に繋がること,上に向かって考えると動けなくなるから目の前のことをしっかりやる人生すごろく形式が良い,仲間と感覚を共有し文化の違いを聞き入れることでブランドとしてやるべきこととニーズをくみ取ること, , , ,,,, , ,0,, 
森,22021078,積み重ねが大切,失敗をするから上に行ける,人の性質に合わせる,学生のうちに沢山の経験をする,何事も楽しむ, , , ,,,, , ,0,,再履修
森,22021088,ブームから文化へ,若い時に失敗しておいた方がいい,決めたらやる,現場を見に行ったりする,関学とのつながりがある, , , ,,,, , ,0,, 
森,22021101,ブームから文化へ,やると決めたら頑張る,失敗は経験,好きだと思うことにトライする,心の声を聴く, , , ,Pattern39,ブーム文化失敗経験ことトライ声,0.84,"対象:22021802 時期:2022/06/09 12:18全てのキーワード:夢中になれるものをみつける,ブームから文化へ,好きなことをどんどんトライしていく,心の声を聞いていく,失敗は経験！", ,0,, 
森,22021116,たくさんのアルバイトをする,0から1を立ち上げる仕事,いろいろな国に行き、現地スタッフと心を通わせる,ブームから文化にしていく,感じる力, , , ,,,, , ,0,, 
森,22021151,心の声を聴いて行動するべき。,若いころにたくさん失敗したほうがよい。,やりたいと思ったことは何でも挑戦してみる。,ブームではなく文化を目指すようにする。,展開型のキャリア形成だったが、要所要所でがむしゃらに頑張った。, , , ,,,, , ,0,,再履修
森,22021159,失敗を恐れないこと,目の前にあることをしっかり成し遂げていくこと,自分が好きだと思うことをどんどんトライしていくこと,失敗から学びを得ること,不確定な状況に対する耐性を身につけること, , , ,,,, , ,0,, 
森,22021162,任されるということは信頼されているということで、それを積み重ねまた任される。,チームで物事を進めていく上では、何を大事にするか、トレンドは何か、常にそれらを意識していく。,一件一件の大事さ、自分の担う責任、稼ぐことの大変さを、秘書のアルバイトで起こしたミスから学んだ。,すごろくのように一回休んだりふりだしに戻るようなことがあっても構わず、それも含めて進展ということ。,頭でっかちにならず心の声を聴いて好きなことに挑戦すること。頭で考えると判断が鈍って失敗しかねない。, , , ,,,, , ,0,, 
森,22021171,バイトで培ったものを活かせると考えて人事を目指したようにアルバイトが就職のきっかけを作ることがある,任されるということは頼られる、信頼されるということである,「相手がどういう気持ちで働いているのか考えなさい」と叱咤されたところから仕事への責任感が生まれた,全ての転職はその前の企業での経験がもとになっていた,企業としてするべきことと従業員の要望を満たすことが管理職では大事である, , , ,,,, , ,0,, 
森,22021178,仕事に対して成果を出すことで信頼され新しい仕事を任される,ブランドとしてやるべきことと皆のニーズをどう繋げるか考える,縦じゃなくて前に進むことを考える,失敗してもまた次を考えたらいい,感じる力を鍛えるために経験する, , , ,,,, , ,0,, 
森,22021179,アルバイト,秘書,信頼,サポート,転職, , , ,,,, , ,0,, 
森,22021207,0から１を任されたことから実績を出して信頼を積むことが大事,関学ライフを楽しみながら今できること・打ち込めることを探す,目の前の事を一つ一つ成し遂げていく,顧客の事を一番に理解する,地元を大事にしながら事業をブームにしないことに努める, , , ,,,, , ,0,,再履修
森,22021211,アルバイトを通じて自分の得意分野を発見できる。,現地を訪れて地元民とコミュニケーションをとることが重要。,ブランドは一時的な流行を産み出すが、ブルーボトルコーヒーは文化的なムーブメントに力を注いでいる。,常に与えられたタスクを確実にこなしている。,会社イメージと顧客の要望を結びつけるために、積極的にアイデアを提案して動く, , , ,,,, , ,0,, 
森,22021215,深く考えない,思い切り,やると決めたらやる,ブームから文化へ,ブームだけで終わらせてはいけない, , , ,,,, , ,0,, 
森,22021223,学生のうちにいろいろなことを経験する。,様々なことを経験していくうちに自分の向き不向きがわかる。,仕事をまかされることに対してどんな時も誠実に向き合って全力ですることが大切。,仕事の同僚や仲間と仲良くし協調性を大切にすること。,ブームから文化へ。そこがゴールなのではなくその先を考える。, , , ,,,, , ,0,, 
森,22021231,アルバイトなど何かに打ち込むことで適性を発見できることもある。,任され続けることが信頼,心の声を聞く,失敗も経験,頭でっかちになりすぎず心のままに行動してみる。, , , ,,,, , ,0,, 
森,22021234,実績が信頼につながる,学生時代での経験が将来につながる,横のつながりが大事,心の声を聞く,感じる力を鍛える, , , ,,,, , ,0,, 
森,22021265,やると決めたらやる,会社のやりたい思いと客のニーズをどう組み合わせるか考える,頭で考えない、心で考える,ブームから文化へ,人生はすごろく, , , ,,,, , ,0,,再履修
森,22021311,人を褒める,必要とされることの積み重ね,任せられるということは信用されているということ,自分でやると決めたらやる,失敗は経験なので頭で考えすぎずにチャレンジする, , , ,,,, , ,0,, 
森,22021314,興味のあることに注力する,今は何気なくとも将来意味のある繋がりになる,失敗をどんどんしていく,地域との繋がりを大切にする,転職は悪いことではない, , , ,,,, , ,0,, 
森,22021337,実績や成果を出さないと信頼は得られない,自分の足で様々なものを見て学ぶ,現地に足を運び、現地の人との繋がりを大切にする,ブームから文化を作ることを大切にしている,今打ち込めることを一生懸命やる, , , ,,,, , ,0,,再履修
森,22021348,チームワークの大切さ,自分のやってきたこととやりたいことをマッチさせることの大切さ,ブランドとしてやるべきこととニーズをどのように組み合わせるかが大切だということ,失敗した方がいいこともあるということ,常に目の前にある仕事をしっかりと成し遂げていくことの大切さ, , , ,,,, , ,0,, 
森,22021394,ブームから文化へ,頭で考えるより心の声をきく,経験の積み重ね,期待に応える,目の前にあるものに対する自分の姿勢, , , ,,,, , ,0,, 
森,22021403,褒めることは大事,やるときめたらやる,不特定な未来に飛び込む,失敗は経験,失敗すればそのときはその時, , , ,,,, , ,0,,再履修
森,22021406,常に目の前にあることを全力でやる,逆算しすぎることも良くない,やると決めたらやるしかない,不確定な未来に飛び込むことも大事,失敗は経験, , , ,,,, , ,0,, 
森,22021437,自身の立ち位置を理解して行動する,人から信頼を得ることが重要,小さなことでも、大きなことに繋げる,行動の段取りを考える,どの役職になっても責務を全うする, , , ,,,, , ,0,, 
森,22021466,バイトを通して自分は何をしたいのかや何に向いているのかを理解した,ブランドはブームを作り、ブームを文化にしていく,学内での活動を積極的にしていくと、人とのつながりが広がっていく,頭で考えたことの判断は鈍る,技術が発達しているからこそ、一緒に仕事をしたいと思うか、思ってもらえるかが大切, , , ,,,, , ,0,, 
森,22021471,バイトから学んだことや感じたことが就職活動の時に役に立つ,タテに深掘りできるほどの興味があることだけに絞らずにヨコに興味があることにも視野を広げる,アルバイト活動を通じて自分の適性を考える,任されるということは頼られているということ,任され続けるということはその場所できちんと成果を出しているということ, , , ,,,, , ,0,, 
森,22021497,バイトで得た経験を生かす,バイトの中で自己分析,自分のやりたいことが何かを考える,自分の考えていることを言語化する能力の向上,失敗してもいい、失敗を恐れない, , , ,,,, , ,0,,再履修
森,22021508,いろいろな経験を積むことが大切,目の前にあることをしっかりやる,失敗は経験,好きなことにどんどんトライする,心の声を聴く, , , ,Pattern56,経験こと前こと失敗経験ことトライ声,0.8,"対象:22021426 時期:2022/06/09 13:56全てのキーワード:感じる力,心の声を聴く,いろんなこと見たり経験したりする,好きだと思うことにトライする,失敗は経験", ,0,, 
森,22021530,人との関係,仕事の責任,様々な経験を積む,失敗も経験の一つ,自分の感性を信じて行動してみる, , , ,,,, , ,0,, 
森,22021535,やりながら学ぶ,その人の夢を叶えるお手伝い,全部の体験がブランドにつながる,人生はすごろく,心の声をきく, , , ,,,, , ,0,, 
森,22021547,任されるのは信頼されているということ。,好きだと思うことにどんどんトライしていく。,国の違いをリスペクトして聞き入れる。,自分がこの空間や環境でどう感じるかを周りと一緒に共有する。,人生はすごろくで休みがあっても前に進んでいるという事が大事。, , , ,,,, , ,0,, 
森,22021548,常に目の前にあることを成し遂げる,見えていない未来に一歩を踏み出す,国の違いを聞き入れる,色々な場所に行って一緒に共有することで相手の事を知る,心の声を聞く, , , ,,,, , ,0,, 
森,22021554,褒める,小さなことの積み重ね,人生はスゴロク,ブームから文化へ,心の声を聞く, , , ,,,, , ,0,, 
森,22021568,過去のつながりが今につながっている,失敗した方がいい,人生はすごろく,常に目の前にあることを成し遂げる,心の声を聞く, , , ,,,, , ,0,, 
森,22021586,仕事の魅力というのたくさんなところに存在し、自分の中で仕事という言葉の捉え方にはさまざまある。,期待に応えたいという、サービス精神というのが仕事のモチベーションにつながっていく。,褒めるということがポジティブなベクトルに向けるためFEEDBACKなど含めて仕事に良い影響を与える。,01の仕事というのは達成感もあり、仕事に対して誠意を持つ、責任を伴う必要性がある。,今できること、今やらなきゃいけないことにフォーカスして、結果を残すことはスキルとして身につく。, , , ,,,, , ,0,, 
森,22021606,デザイナーの一生を繋いでいく,韓国、香港支社の立ち上げを担当,関学の良さは繋がり,この人と関わりたい、組織の在り方はその後で考えるがちょうど良い,信念とか思い描いてる形を一個ずつ形にしていっているというプロセス, , , ,,,, , ,0,, 
森,22021614,マルチカルチャーなことが刺激的で面白いと感じている。,サークルでの活動をやっておけば良かったと後悔している。,入れ替わりで就職すると1からしっかりと鍛えられる。,自分の性に合う合わないを考えて就活することも大事。,人生はピラミッドではなくすごろくなので、失敗を恐れてはいけない。, , , ,,,, , ,0,, 
森,22021628,様々な経験をして自分にあった適正をみつける。,仕事に誠意をもって、興味にあることにひた向きに取り組む。,仕事を任されることは、それほど人から信頼されている証である。,今考えている理想のキャリアも今後変わる可能性もある。キャリアチェンジは悪い事ではない。,関学でのキャンパスライフを楽しみながらも、自分が打ち込めるものを一つでもいいから探す。, , , ,,,, , ,0,, 
森,22021640,失敗を恐れないこと,人への思いやり,知識がなくても感じることはできる、そこから、感じたことを理論にしていく,一から学ぼうという気持ち,理論で考えるよりも気持ちで動く、理論で考えるより気持ちで動くほうが後々良い。, , , ,,,, , ,0,, 
森,22021646,海外で仕事をする時は、ローカルの意見を取り入れつつ軸を保つことが大切。,失敗を恐れずに前に進むことは良い経験になる。,仕事への誠意が評価へと繋がる。,ブランドを消耗し得るブームで終わらせるだけでなく、その地域の文化に馴染ませることが大切。,会社のブランディングは他社との差別化や独自性の保持において大事なことである。, , , ,,,, , ,0,, 
森,22021655,あなたのことを見てるよと分かるように褒める。それが相手の自信ややる気に繋がる。,チーム作りや誰と働くかは重要。,０から１への仕事を任され続けるには努力が必要。,学生の間は打ち込めるものを見つけるべき。アルバイトから将来やりたいことが見つかることもある。,流行りで終わらせない、ブームを文化へ。, , , ,,,, , ,0,, 
森,22021664,第一印象を大事に（挨拶を大事に）,知らないことを学びに行く,世の中いろんなことがある,突き進む,誰かが見ている, , , ,,,, , ,0,,再履修
森,22021676,企業が街と一緒に街を盛り上げる,マルチカルチャー,自己分析,転職はポジティブ,共有, , , ,,,, , ,0,, 
森,22021692,鮮度のあるフルーツのようなコーヒー,マルチカルチャー,部下は外国人の方が多い,秘書代行,ゼロから１に, , , ,,,, , ,0,, 
森,22021698,褒める、コミュニケーションがだいじ,忙しくても、任される、つまり頼られる、信頼されるというのがやり甲斐,選択の責任は自分にある。だからやってみたら良い。,そこにずっといるより失敗しても前に進む方がいい。,日本人はしっかり先が見えているものをやりがち, , , ,,,, , ,0,, 
森,22021699,マルチカルチャーで働くことに加えて、文化による違いを学びながら仕事をする過程が面白いと感じる。,失敗は経験であって、失敗から学ぶことで、前に進むことが大事。,会社が目指す世界観とお客様のニーズをどのように繋げるかを意識して主体的に動くようにしている。,考える側とお客様の両者のブランドをどのように進化させていくかを考えながら仕事している。,日本人は不確定な体制に対する対応に弱いが好きだと思うことはどんどんトライすると良い。, , , ,,,, , ,0,, 
森,22021706,暮らすように旅する,０から１にする仕事,自分のことは自分でやるしかない,ブームから文化へ,心の声を聞く, , , ,,,, , ,0,, 
森,22021714,人を褒めることでその人を成長させる,バイトなどの経験を通じて自分の適正に気づく。,信頼を得て成果を出すことで事業を任されることに繋がる,ローカルの意見を取り入れてニーズを満たす,ブランドでブームを作り、文化にしていく, , , ,,,, , ,0,, 
森,22021718,バイトをしながら自己分析、適正に気づいていった,任されることは頼られる信頼のあかし,人生はすごろく,失敗は経験,心の声を聴く, , , ,,,, , ,0,, 
森,22021750,アルバイトを通じて自己分析,仕事は3ヶ月間くらいがしんどい,色んな人がいるが、二重管理をして徹底管理,マネジメントはみんなの前で褒めることを意識している,頭でっかちにならず、心の声を聞いて好きだと思うことをする, , , ,,,, , ,0,, 
森,22021759,ブームから文化へ,秘書センター,recognitionがすごく大事,清澄グレー,コーヒーはフルーツ, , , ,,,, , ,0,, 
森,22021806,必要とされることが嬉しい。期待に応えたいと思って仕事をすることが仕事のやりがい。,チームマネジメントにおいて功績を残した人をみんなの前で褒めたり、「見てるよ！」と伝えることが大切。,ブームを文化にしていく。,ロジックで理解するとみんなと共有しやすい。,海外の人は文化が違うのでトレンドを取り入れる。日本人は不確定なことを嫌うから国によって変える。, , , ,,,, , ,0,, 
森,22021843,自分が関わることのインパクトを考えることが、責任を持つということ。,人生はすごろく。失敗してそこから学ぶ方が深みが出る。,自分が感じていることを他の人と共有することで文化の共有につながる。,頭を固くせずに好きなことをやる。頭でロジカルに考えずに心の声を聴く。,決めたら目の前にあることを精一杯やる覚悟を持っているかどうか。, , , ,,,, , ,0,, 
森,22021844,ブランディング,信頼,ブームから文化へ,誠意,心の声を聴く, , , ,,,, , ,0,, 
森,22022009,頭で考えると失敗する。,感性を信じて選ぶ。,ブームから文化へ。ブームには終わりが来てしまう。文化にすることで長く続いていくブランドになる。,失敗を恐れるな。失敗してそこから学んでいけば良い。,大学時代の同期や仲間は大切な財産になる。, , , ,,,, , ,0,, 
森,22022016,後悔のないように学校で思い出をつくる,失敗は経験なので色んなことに挑戦する,目の前にあることをしっかり成し遂げる,学内の活動を通じて友達をつくる,頭で考えるのではなく心の声を聞く, , , ,,,, , ,0,, 
森,22022018,マルチカルチャーの中で働くことが刺激になる,人から必要とされることが嬉しい,やると決めたらやる,個性があって間違いはなく自分の意見を共有することが大事,人生はすごろく, , , ,,,, , ,0,, 
森,22022020,マルチカルチャーの中で働くには、ほめることが大切,結果が出たらみんなの前でほめる,ブームから文化へ,失敗は経験,心の声を聴く, , , ,,,, , ,0,,再履修
森,22022043,リーダーがどう指示を出すかで終わり方が異なるから、どのようなチームを作り、誰と働くか,任せられる＝信頼されている,ブームから文化へと発展させるために、地元の人たちをまず第一に考える,人生はピラミッド的ではなくすごろく的に考える。前に進んでいることが大切,頭で考えたことの判断は鈍るから、心の声をきき、好きだと思うことにどんどんトライしてみる, , , ,,,, , ,0,, 
森,22022046,海外旅行を経験しておく,バイト等の様々な経験を経て自分の適正、やりたいことを見つける,若い時の失敗は大事、傷だらけになるくらい失敗してもいい,人と人との繋がりは思わぬ所でなにか機会をもたらすのでとても大切な,分からなかったり、詳しくなかったら聞いてみて自分なりに理解しようとする, , , ,,,, , ,0,,再履修
