回答日時,受付番号,回答ユーザ,第８回:キーワード①,第８回:キーワード②,第８回:キーワード③,第８回:キーワード④,第８回:キーワード⑤
2022/11/14 16:57,3234,25020234,ロジカルだけでなく感じる力を駆使する,色々なことを見たり経験する,その場その場をがむしゃらに取り組む,自分の感性を信じる,がむしゃらに取り組み振り返れば、結果繋がっているというキャリア形成
2022/11/14 16:57,3232,23021270,課題を持つこと,大事なことは守る,結果より過程が大事,怒られることも大事,経験はのちに役立つ
2022/11/14 16:56,3231,34022008,アルバイトを通して自分の適性を知る,自分の空間を一緒に共有する,ブームを文化に変える,頭で考えた判断は鈍るので心の声を聴く,リコグニションが大事
2022/11/14 16:56,3230,26022163,コーヒーを引きたてるため、建物もひきたてるための色への考慮,アルバイトの経験、リーダーがどう指示を出すかで1場面1場面で変わっていく仕事,その会社がどういう気持ちで経営しているか,みんなの前で褒める,分からないことを積極的に聞く、教わる
2022/11/14 16:56,3229,25021007,事業を立ち上げるにはやってきた事をやり切る,この学校は自分がやりたい事を色々選択できる場所だった,立ち上がったばかりの会社に出向することになったので見て覚えるくらいの勢いで自分で切り開いていかないといけなかった,人から必要とされるのが嬉しくて仕事をしている,好き嫌いには個性があって間違いでは無い
2022/11/14 16:56,3228,25021617,頭で考えるのではなく、自分の心の声を聴く。,何か打ち込めることを見つけて、それを一生懸命がんばる。,若い間にたくさん挑戦して、失敗する。,人との繋がりに感謝して、大切にする。,0から何かを始める事は、自分を成長させる上でとても重要な事
2022/11/14 16:56,3227,23021175,0から1,楽しく仕事,ブームから文化へ,人のために仕事,今うちこめることを
2022/11/14 16:55,3226,23020046,マルチカルチャーな中で働けることは刺激が多く、文化によってのスタイルも仕事をしながら学んでいける。,みんなの前で自分の感情や意見を表現することは恥ずかしいことではなく素敵なことである。,学生の間にアルバイトや留学などたくさんの経験をすることが大切である。,ネットでたくさん調べられるため、それによって頭でっかちに考えすぎて一歩踏み出せないことがあるが、失敗しながらも学びを深めていくという考えが大切。,モノづくりなどの効率とかを重視しているわけではないロジカルではないことに触れることで感性が磨かれたり人の思いを感じることができ、空気感を共有しながら形作っていくことができる。
2022/11/14 16:55,3225,29021305,適性を知る,０から1を創る,結果を出し続ける,心を通わせる,キャリアチェンジ
2022/11/14 16:55,3224,24021182,一歩踏み出す大切さ,打ち込めることを見つける,常に目の前にあることをやり続ける,人とのつながりをもてる大切さ,やると決めたならやる
2022/11/14 16:55,3223,23021341,新人の頃に実績をあげることが大事,実績をあげなければ信頼を得ることができず任され続けない,自分の適性を見つける学生生活を送る,ブームから文化へ変わる,いま打ち込めることをやる
2022/11/14 16:55,3221,23021492,実績をあげないと信頼されない,新人の頃に実績をあげることが大事,自分の適性を見つける学生生活を送る,ブームから文化へ変わることに気づく,いま打ち込めることをやる
2022/11/14 16:55,3220,22022068,学生時代に自分の適正を理解するために様々な経験をする。,自分で学んでいくことは大変だがそれが最も成長する,任され続けるのは成果や信頼を得ないといけない。,メディアなどをいれて流行りにしてしまったからこそブランドを消耗してしまった経験,繋がりは財産。
2022/11/14 16:55,3222,22021820,分かっている道を進みたいという意見にはっとした。自分もわかりきったことを安心してやりたいという意志で動いてしまっているから、もっと挑戦の意思を持とうと思った。,失敗したほうが人生に深みが出る。そう考えて動くと、失敗を恐れずトライできるようになる。,友人との繋がりが自分の財産になっている。深く、幅のある関係をつくるのが良い。,常に目の前にあることを成し遂げ、今できることに打ち込めばやりたいことの発端が見つけられる。,頭で考えて出した答えは鈍るため、心の声を優先する。好きなことにトライし続けることが大切である。
2022/11/14 16:55,3219,37022218, 早いうちからどの業界に進むかを決める必要は無いが、いろいろな説明会などで話を聞いておくことは役に立つ。,自分の適性に気づいていくことが大切。それによって自分が何に向いてるか分かる。,国の違いをきちんと聞き入れることは大切。,与えられた仕事に対して成果を出して、どんどん新しい仕事を与えられることが大切。,失敗は経験なので好きだと思うことをどんどんトライするのがよい。
2022/11/14 16:55,3218,25021217,学生時代に自分で金をためて海外旅行にいっていた,興味本位でとった授業が今につながっている,大学生の時に秘書のアルバイトで自分の適性を発見,頼まれたことに全力で応えたい精神で働いている,新しく始める仕事が多かったが成果を出し信頼を勝ち取っていった
2022/11/14 16:55,3217,39022152,コーヒーをフルーツとして扱う、つまり新しい着眼点を持つ,色々なアルバイトの経験から自然と適性を発見できた,統括として意識することはとにかく褒めること,やると決めたらしっかりやる,人にしか出来ないこと、力、感覚
2022/11/14 16:55,3216,23021079,ミーティングを長々するのもあまり良く無いからサクッと終わらせるためにも立ってミーティングする,褒めることが大切、やる気につながる,チーム状況やリーダー次第で変わってくるからチーム作りが大切,信頼されないと任されない,ブームから文化にする
2022/11/14 16:55,3215,22019709,危機一髪,チームワークが大事,ブランディング,エッセンスを学んで少しずつ領域を広げる,ロジックで理解
2022/11/14 16:54,3213,25021336,人から必要とされると嬉しい,国の違いを引き入れる,任されることは、頼られる、信頼されること,失敗した方が深みが出る,心の声を聞くことが大事
2022/11/14 16:54,3212,25020668,はじめは詳しくないことについても人に積極的に聞くことで詳しくなれる。,現地スタッフと言葉を交わすことが大切。,ブランド化ではなく文化かにより町の文化に変化を与えることができる。,AIが可能でない気持ちが必要な人材が必要とされる・,人だからできる価値のある行動もある。
2022/11/14 16:54,3211,31020561,自分の適正に気づくのが大事。,なんの仕事を新人時代の時に頼まれるかは運命。,任され続けるということは誠意を持って実績を作る必要がある。,信頼され続けないと任され続けない。,あまり詳しくないことは教えてもらうことが重要。
2022/11/14 16:54,3210,29022230,任されるためには実績を出して信頼されることが必要,国の違いを受け入れる,マネジメントにおいて誉めることは大切 (あなたのことを見てるよ！必要としてるよ！ということを伝える),ブランドとしてのニーズと人々が求めるローカルなニーズの分量を見極める,"頭ごなしに否定するのではなく、何故か""を説明して納得し合うことを繰り返し信頼が生まれる"""
2022/11/14 16:54,3209,24022238,怒られたことよりやってしまったことにがっかり,縦には分からないが横には分かるのがヒトだった,自分が何をしたいのか定まっていない焦り,自分の役割やインパクトについて考える,個性は間違いでもないし共有するのは恥ずかしくない
2022/11/14 16:54,3208,26022542,CBOはブランドを統括する役割,フィードバックは積極的にする,バイトを通して自分の適性を知る,ブームから文化へ,心の声を聞く
2022/11/14 16:53,3207,22021503,どのような仕事を任されるかは運命,０から１を作り出す仕事を任されることもある,任され続けるには誠意をもって実績を上げるしかない,自分の足でいろいろなところへ視察へ行く,様々な国を交流することを大切としていた
2022/11/14 16:53,3206,24020384,実績を残して信頼されると仕事を任され続ける,成功する人は自分から積極的に動いている,ブームはやがて文化となる,人の考えは常に変わる,共有が新しいものを作る際の糧となる
2022/11/14 16:53,3205,24021423,前に進むことが大切,バイトの経験からなりたい職業を考えること,信頼されないと任されないこと,失敗することで発想が豊かになる,何か１つでも頑張ったといえるもの
2022/11/14 16:53,3204,29021016,子会社に配属,アルバイトを通じて得た経験,0から1へ,立ち上げることへの興味,国による違い
2022/11/14 16:53,3203,23022526,学内の活動もやっておけばよかった,任されるとは頼られるということ,先輩の背中がない,自分だけではなく相手の企業を思いやる,ニーズにこたえる
2022/11/14 16:53,3202,23021291,まかされることは頼られているということだから積み重ねがやりがいにつながる,怒られたことは印象に残るが、その経験があったことは良かったと思える,自分がこの空間や環境でどう感じるかを共有することが大事,やるかやらないかだったらやる、やると決めたらやる,国の違いを受けいれたり、成功した時にみんなのまえで褒める
2022/11/14 16:53,3201,22022442,自分の適性に気づく,任される経験,過去のつながり,押し出しすぎない,自分なりに理解する
2022/11/14 16:52,3200,23021426,褒める,信頼されないと任され続けることはない,地元の人たちをまず大事に,人生はすごろく,選択の責任は自分でとる
2022/11/14 16:52,3199,26022120,様々なアルバイトを通して自分の適性に気づく,信頼と実績によって仕事は任され続ける,現地スタッフと心を通わせる,ブースから文化へ,打ち込めるようなことを探す
2022/11/14 16:52,3198,24020316,様々なバイトの経験も貴重な経験。,自分に適正のあるものを見つけることが大切。,0から1作ることが面白い。,キャリアチェンジは全然するべき。,今出来ること今うちのめることを見つける。
2022/11/14 16:52,3197,31020551,多国籍で活躍できる語学力,失敗は経験にする,ブームから文化へ,好きなものへのトライ,頭で考えるのではなく心の声を聴く
2022/11/14 16:51,3195,23021231,人生はすごろく 一回休みがあってもいいし、3歩も戻るもあっていいし、振り出しに戻るもあっていい。それも含めて進んでいる。,ピラミッド的にキャリアを考えると、動けなくなってそこにずっといる。 キャリアは縦じゃなくて前に進むことが大切。失敗をしてそこから学んだことで深みが出た方が豊か。,日本人は不確定な状況に対する耐性が弱い。しっかりわかっていることを進めたいが、とりあえず一歩踏み出すこともいい。,失敗は経験だから、どんどんやった方がいい。頭でっかちにならず、好きだと思うことにどんどんtryするべき。,心の声を聞くことを大切。頭で考えた時の判断は鈍る。ex:この人と働きたいという直感が大切。大人の失敗は傷が残る。
2022/11/14 16:51,3194,26022428,様々なアルバイトの経験から自分の適正を見つける,自分の足で成長する,自ら現地へ行って心を通わせる,今できること今打ち込めることをみつける,意見を共有する
2022/11/14 16:51,3193,24021829,自分の適性に徐々に気づいてしまった,誠意をもって仕事のに取り組んで実績を出したことが仕事につながった,失敗しても前に進む,ブームから文化に気づいた,今出来ること打ち込めることを見つける
2022/11/14 16:51,3192,26022224,アルバイトを通して自分の適正に気づいていく,仕事を任され続けるには実績を残し成果を出し続けないといけない,現地のスタッフと心をかよわせることが大事,ブームから文化へ,今打ち込めることを見つける
2022/11/14 16:51,3191,25020302,任されることは頼られてること,ゼロイチの仕事,やらって決めたらやる,国の違いをちゃんと聞き入れる,会社の世界観とお客さんのニーズを繋げる
2022/11/14 16:50,3190,26021014,仕事は人の役にたてる,人生はスゴロク,ブームから文化にする,失敗は経験になる,流行らせすぎると、ブランド力が落ちる
2022/11/14 16:50,3189,31021029,誠意を持って仕事に取り組み、成果を出して信頼されて仕事をする,学内での関係づくり→人脈を広げられる,何か打ち込めることから将来のヒントを探す,色々な企業を調べて訪問する,転職を繰り返しながら自分のやりたいこと、やりがいを感じられる仕事に就く
2022/11/14 16:50,3188,24022765,様々なことにチャレンジする,誠意を持って仕事をする,やると決めたらやる,自分の足で色んなことを学ぶ,なにか熱中できるものを見つける
2022/11/14 16:50,3187,31020361,社会人から大学時代を振り返ってみると、関学の空間は非日常だった,好きなことをロジックで考えることができるようになると、周りに好きなことを伝えることが恥ずかしくなくなる,実績や成果を出すことで仕事を与えてもらえる,困難な状況に対する力は日本人は弱い,失敗したらその後考えればいい
2022/11/14 16:50,3186,34021049,とりあえず、褒める,フィードバックが大事,国際性を養う,海外から事業を持ち込んで新規事業の軸にする,0から1
2022/11/14 16:50,3185,39022077,展開型のキャリアを成功するにはがむしゃらにその場その場にいる人の役に立つ気持ちが必要,自分の感性を信じて転職をするとよい,アルバイトやボランティアを通じて自分の将来やりたいことを見つけることを意識しながらやると価値がある,失敗は経験だから、好きなことをどんどんトライすることが大事(心の声を聞く),感じる力で生まれるものはロジカルではなくてもたくさんあるからその感覚をトレーニングするためにも他者とたくさんコミュニケーションをとるとよい。
2022/11/14 16:50,3184,26020467,場面ごとの行動の違いで結果も大きく変わる,様々なアルバイトの経験から自分の適性に気づく,０から１を作る難しさ,感じる力を鍛える,自分の感性を信じる
2022/11/14 16:50,3183,25021560,仕事を任され続けられるには誠意を持って実績を出さないといけない,ベースは褒めてること、結果が出たらみんなの前で褒める,国の違いを聞き入れる、どこまでリスペクトして聞き入れるか,ブームから文化へ,失敗は経験だからどんどんやってみるべき（心の声を聞いてみる）
2022/11/14 16:49,3182,24021007,直接足を運んだり、分からないことを聞いてみたりして情報を集める,ピラミッド的にキャリアを考えるだけでなく、横向きに考えてみたりする,人に頼られるのがやりがいになる,転職とはネガティブなものではない,ブランド→ブーム→文化
2022/11/14 16:49,3180,23021372,バイトで自分の適性を知る,感謝を忘れない,成果を出して信頼される,一緒に共有する,地元の人を大切にする
2022/11/14 16:49,3181,22020921,営業の仕事は視野を広く,達成感が仕事のやりがいにつながる,人から必要とされることの嬉しさ,新しいことの挑戦,1からのスタートの大変さ
2022/11/14 16:49,3179,25020580,外国の方と仕事をする時褒めることが大切。,学生時代に選択肢が多くてそれを蓄積できたのは良かった。,任されることは信頼されていることを意味する。,事業は作ることから大変,グローバルチームは国や文化の違いを受け入れることが大事。
2022/11/14 16:49,3178,25020641,学生時代の経験が大切,人生は双六で後ろに下がっても少しずつ前に進めればいい,ブランドはブームを作るのではなく文化を作ることが大切,機械ではなく人だから価値があることを大切にしていくべき,今できることや打ち込めることに取り組むことが将来何かに役立つ時が来る
2022/11/14 16:48,3177,23021365,文化によって違う生活スタイル,外国人の理解,心が生きている,店舗デザインの設計,マルチカルチャー
2022/11/14 16:48,3176,23021218,自分の適性に気づく,仕事に対して誠意を持たないと任されない,ブームから文化にしていく,国の違いを受け入れる,今できる事を精いっぱいやる
2022/11/14 16:48,3174,26022226,アルバイトを通して自己分析,人生はすごろく,失敗を恐れず好きなことをどんどんトライする,心の声を聞く,感じる力を鍛える
2022/11/14 16:48,3175,29019323,総政は横軸で色々なことを学べる,見ただけでは決められない,自分の足で勉強する,ブームから文化をつくる,打ち込めることを見つける
2022/11/14 16:48,3173,29022072,視野の多角性,褒めることの大切さ,任されることの意味,海外への興味,がむしゃらにでも色々経験する
2022/11/14 16:48,3172,25021243,自分の適性に気づく,0から1,ブランドをブームから文化にする,失敗は経験、好きなことをトライする,どんなことでも打ち込めることを見つける
2022/11/14 16:48,3171,29020150,アメリカのように褒めることを大切にしている。,仕事を見て覚えることはとても大変である。,立ち上げ経験をしていくうちに立ち上げをしたいと思い転職されたように就職してからやりたい事が決まる。,自分(の会社)にしかできない事を考え、武器にしていくべき。,挑戦することを躊躇しない。
2022/11/14 16:47,3170,23022548,失敗は1つの経験になるため恐れずにチャレンジしていくことが大切,すべての体験が何かしらにつながる,大事と思うことは共有していく,任せられる＝頼られる,人から必要だと思われる人材になることは大切
2022/11/14 16:47,3169,23021525,縦より横で考える,海外旅行など、いろいろな経験をする,失敗しても大丈夫、むしろしたほうがいい,人生はすごろく、ピラミッドではない,選択した責任は自分で取ればいい
2022/11/14 16:47,3168,31020502,人生はすごろくであり、休みも戻ることも進んでいるということ,意見を否定せずにブランドとしてするべきことができるようにハンドリングする,好き嫌いは個性であって、そこから自分の感覚を論理的に理解できるようにすること,キャリアはピラミッドであるが、若い頃は沢山失敗をするべきである,大学で学ぶだけでなく、アルバイトなど様々な経験を通して自分のやりたいことをクリアにさせる
2022/11/14 16:47,3167,23021543,目の前にあることに集中して成し遂げる,アルバイトから自分の向き不向きがわかる,褒めることはチームワークにおいて重要である,国の違いを聞き入れる,頭で考えるも大切だが、心の声も重要である
2022/11/14 16:47,3166,24020413,ブルーボトルコーヒーで働くことの魅力は、創業者の近くで仕事をすることで、ブランドの作り方を理解できること。,マルチカルチャーに働けると刺激的で面白い。,外国人の方と仕事をする時は、日本人とは違って「褒めること」が大切である。,初めはコーヒーについて詳しく無かったが、教えてもらううちに、ブルーボトルについて理解し、様々な国へ行って、現地スタッフと心を通わせることを大切にしている。,ブルーボトルコーヒーは「ブーム」をつくり、それに「文化」に変えるということを大切にしている。
2022/11/14 16:46,3165,34022282,  頭で考えた時の判断は鈍ってしまうため、心の声を頼りに挑戦するべきである。,失敗をお恐れずに一歩踏み出す勇気が重要である。,アルバイトなど学生時代の様々な経験を通し、自分の適性をみつけると、将来に生きてくる。,仕事を任せ続けられたら、誠意をもって取り組み結果を出さないといけない。,責任は自分とらなければならないが覚悟をもって挑戦することが大事である。
2022/11/14 16:46,3164,24022491,任されるって頼られてる、信頼されてるってこと,人から必要とされることって嬉しい,流行りにしてしまったからこそ終わりがくる,露出する時はちゃんとストーリーとコンテストを書いて頂けるところとしかお付き合いしない,失敗は経験
2022/11/14 16:45,3162,23020141,秘書代行,有馬温泉,海外旅行,褒める,国の違いを聞き入れる
2022/11/14 16:45,3161,26021600,長々とミーティングをしない。,ブランド全体を統括する仕事。,チームマネイジメントも文化の違いがある。,何かに打ち込めることを大学で見つける。,大変なことを楽しくする。
2022/11/14 16:45,3160,29022417,学生は自分の向いてることが分からない期間,ブランドはブームからつくる,積極的に聞くことが大事,自分の適性を見つけるためにバイトをするのはいいこと,現地の人に話を聞くことで知ることがある
2022/11/14 16:44,3158,26022339,嫌なことから逃げない,相手のために行動する,自分から動く,いいアウトプットはインプットから,しぶとく続ける
2022/11/14 16:44,3157,25020065,仕事を任され続けることは実績を伴わないと無理なこと,大学時代に作った仲間の絆は強い,人のために働くことが大切,後悔するのは社会人になってからではなく学生のうちにするのがいいかも,大学でこれを頑張ったぞっということを大学生時代にやっておくべき
2022/11/14 16:44,3156,26020516,成果,信頼,サポーター,ブームから文化へ,地元
2022/11/14 16:44,3155,24020720,子供の頃アメリカに住んでいた。帰国子女枠で入学した。,有馬温泉でアルバイトなど色々してみて自分の適性を探った。,初めはコーヒーについて詳しくなかった。,ブルーボトルの歴史、大切にしているものを学ぶために色んなところに行った。,ブランドをブームから文化にしようとする試みを大切にしている。
2022/11/14 16:43,3154,37021432,任されたことに誠意を持ち、実績を出し続ける,結果で信頼を勝ち取る,論理で理解する,敵を作らない、中間層を味方にする,感じる力と新しいことを生み出すこと
2022/11/14 16:43,3153,25019159,人材派遣の会社は人数が必要。,自分で開拓することは大変だったが、自分ですることですごい早いスピードで成長できた。,マーケティングの力を借りると、自分のやりたいこととするべきことがマッチした。,トレンドを意識してチームと物事を進めていく。,マーケティングでは、褒めることや報告が大切。、
2022/11/14 16:42,3152,29021459,学生時代に自分の適性を知ることで仕事探しの軸を見つけることができる,誠心誠意仕事に向き合うことで信頼を得ることができ、仕事を任される,目標から逆算して行動するのも大切だが計算するよりも先に行動できるようになるとまた違った知見を得れる,学生時代にたくさんいろんな人と話すことが将来自分のネットワークが広がることにも繋がる,学生時代に責任感を育む体験をすることで将来役に立つ。
2022/11/14 16:42,3151,26022495,アルバイトによって得た知識が役に立つので、アルバイトをしっかりする,一つ一つで満足するのではなく、どんどん新しいことにチャレンジをしていく。,信頼があれば0から1の仕事を任されている。,一つ一つを全力で頑張ると、それが人生において何かプラスに働くことがある。,人生に正解なんてないので、やるかやらないかの判断になった時やるきである。
2022/11/14 16:42,3150,23021592,任せられるのは期待されているから,任せられたら断らない,感覚をロジカルにしていく,ブランドで土地の歴史と文化を変える,ブランドはブームから文化にしていく
2022/11/14 16:42,3149,36021571,ブームから文化へ,やると決めたらやる,人生はすごろく,暮らすように旅する,空間や環境で感じたことを一緒に共有
2022/11/14 16:41,3148,31021304,マルチカルチャーの中で仕事する中で人を褒めることを意識している。,チームワークではチームがどう動くかやリーダーがどう動くかで大きく結果は変わってくる。,人から必要とされることを糧に仕事をしている。,褒めるというのは“見てる”ということを伝える手段になっている。,お店を“ブーム”にするのではなく“文化”にする。
2022/11/14 16:41,3147,23020287,あまり長々とミーティングするのもよくない,初めて飲んでもらいたいおすすめのコーヒー,色々なことを学べる期待値,縦には分からないが、横だったら自分の興味がわかった,立ち位置は「町のコーヒー屋」でありたい
2022/11/14 16:41,3145,24022198,現地スタッフと心を通わせることは大切,ブームから文化へ,街の文化をも変える,今出来ることの中から打ち込めることを見つける,がむしゃらに人のために役立とうと言う気持ちが次のステージに繋がる
2022/11/14 16:40,3143,23022663,人から必要とされることの嬉しさ,0から1にする仕事の大変さ,国境を越えたチームマネジメントにおいては国の違いを聞き入れることも大切,自分が感じたことを共感することが大切,流行りで終わらしてしまうのではなく地域の文化にする
2022/11/14 16:40,3142,25020380,言われたら100返す,頭で考えると判断は鈍る,心の声を聞く,任されるとは信頼されてること,やると決めたらやる
2022/11/14 16:40,3141,24022372,褒めることが大事,学生の間に沢山経験する,アルバイトを通じて自分を見つける,現地に行って、心を通わせる,失敗をした方がいい
2022/11/14 16:40,3140,31022315,自分の適性を探す,若い時はがむしゃらに,打ち込めることを探す,ブームを文化にする仕事,土地を大事にして知ることもある
2022/11/14 16:40,3139,23021560,心の声を聞く,CBOとはブランド全体を統括すること,日本には褒める文化がないけど、アメリカではどんどん褒めていく,ブランドとしてやるべきことと、ニーズを汲み取れることを意識している,ブームから文化へ
2022/11/14 16:39,3138,25022558,任されているということは信頼されている証拠である。、,やると決めたことはやり通す。,一つずつ段階を踏んで実行していく。,とにかく褒めること。,国の違いを素直に聞き入れること。
2022/11/14 16:39,3137,22022119,ほめる,任されるのは頼られるということ,国の違いをききいれる,失敗した方がいいのに,人生はすごろく
2022/11/14 16:39,3136,24022795,海外旅行好きで英語を習得,秘書時代に怒られて学ぶ,社会人スタートでいきなり0?1の仕事,他人に奉仕するのが好き,若いうちにたくさん経験を積む
2022/11/14 16:39,3135,34022270,信頼されていることをモチベーションにする,迷ったらとりあえずやってみる！,失敗を恐れて挑戦しないのではなく、失敗からしか学べない経験を得る,学内での人脈は人生を支えるネットワークになる。,何か打ち込めるものを大学にいる間に見つける
2022/11/14 16:39,3134,25020319,商品サービスの質よりもまず顧客第一,サークルなどの仲間との繋がりは財産である,若いうちには失敗するべき,任されるには信頼、結果が必要,一緒に働きたいと思ってもらえることがこれからは大切
2022/11/14 16:39,3133,25021398,0から1にする仕事はさまざまな過労があった。,ブランディングが必要である。,毎日大変であるけど、仕事にはやりがいを感じる。,人から必要とされると嬉しいため、言われたら100で返したいと思っている。,一緒に文化を育てていこうとした。
2022/11/14 16:39,3132,24020193,マネジメントで重要なことは、しっかりと見てるんだということを分かってもらいつつ、みんなの前で褒めること,ブランドとしてやるべきことと、お客様のニーズをどう満たしていくかということについて議論してきた,ブルーボトルコーヒー清澄白河店がオープンした当初は地元の人を一番に考えることを大切にしていた,メディアに露出する際は、ブルーボトルコーヒーが大事にしている文化や物語を伝えてもらうことに重きを置いていた,日本人は不確定な状況に対する耐性は弱いく、わかってる事を進めがちだが、そうではなく失敗することも大切
2022/11/14 16:38,3131,23022512,マネジメントにおいて重要なことは褒めるということ,周りのみんなと情報を共有する,流行りにしてしまったらそれはいつか終わりが来るだから良いとは限らない,学生のうちに色んなことに経験する。チャレンジしてみる。,とりあえず1歩進み出してみる。
