"回答日時","受付番号","回答ユーザ","第2回:キーワード①","第2回:キーワード②","第2回:キーワード③","第2回:キーワード④","第2回:キーワード⑤"
"2022/10/03 16:54","3266","34022203","チームで連携するためには、どんなに忙しくても広い心のキャパシティを持って、丁寧に接することが大事。","kwic上の情報は自分には関係ないと見過ごしてしまいがちだが、自分の将来につながる情報があるかもしれないのできちんと読むべき。","自分と相手をよく知り、その貿易に関わる人が喜んでくれることが一番のやりがい。","ずっと無理をして仕事を続けてもいいアイディアは浮かばないから、休憩も大事にするべき。","バックグラウンドが違う人と話すことが対話であり、社会で信頼を築くために求められるのは対話。"
"2022/10/03 16:54","3265","29022046","専門のスキルを身につけ、それを組み合わせてものを創り上げる","見過ごしがちな情報を能動的にどんどん収集する","相手と自分の違いを認めたうえで、自分を知り相手を知る","忙しい時こそ、態度や言葉遣いを含めた心に余裕を持つ","背景の違う人との話し合い、対話を大切にする"
"2022/10/03 16:54","3264","31020305","情報発信を自分でキャッチして行動する。","忙しくて周りが見えなくなる。","たくさんの人と対話すること！","クヨクヨしない！前向きに進もう！結果何がいいからない","ビジネスは社会のためにならないと続かない。"
"2022/10/03 16:53","3262","22021401","従業員数が少ないと一人当たりの裁量が大きくなりやすいため、若いころから大きな仕事を割り振られやすい","商社の特徴の一つとして、色々な領域にまたがり、色々な分野を見ながら全体を俯瞰してアイデアを考えるというものがある。また、人と関わる機会が多い。","大学から発信される情報はこまめにチェックする。多くの情報の中に、自分が必要とする情報が含まれている。","沢山の企業を見て回るうちに、自分が興味があり、価値観の合うジャンルを見つけた。（商社・人と関わる、など）","仕事は大変でも、自分が成長して変わっていくのが分かって楽しかった。しかし、忙しくても心の余裕はなくさないように、自分を客観的に見る目を持っておく。"
"2022/10/03 16:52","3261","23021358","情報選択","飛び級","商売等のやりとり","一神教","対話、会話"
"2022/10/03 16:52","3260","23021220","伊東忠商事","ブランディング","心のキャパシティ","人との関わり","人として成長"
"2022/10/03 16:52","3259","24022515","宝物となる情報を見過ごさないこと","外の目を持って気づくこと","対話することの大切さ","前向きに物事を捉える","悩みすぎず次の行動に行く"
"2022/10/03 16:52","3258","29022185","180社回った(行動力)","夢中になりすぎて心と体の余裕がなくなり、仕事が回らなくなる","現場に行くというのは商売の基本のひとつ","自分を知り、相手を知る。そしてお互いにとって良いもので商売をする。","前向きな塞翁が馬"
"2022/10/03 16:52","3257","23021159","自分にとって重要な証拠を掴む","忙しい時にも心に余裕をもつ","どれだけ忙しくても心のキャパシティを持っていないと仕事はうまく回らない。","自分に関係ない情報もあるかもしれないけれど将来に役に立つかもしれない情報もあるかもしれない。","信頼関係についてくよくよしない"
"2022/10/03 16:51","3256","24022551","情報をキャッチする","心の余裕","周りに目を向ける","人間万事塞翁が馬","色々なことを楽しむ"
"2022/10/03 16:51","3255","23022173","向上心","対話","ポジティブ","自覚","前向き"
"2022/10/03 16:51","3254","24020316","忙しいと言わない事が大事。","思いやりを持つこと。","原点を見直す事も大切。","最後まで諦めない。","周りも見ることが必要。"
"2022/10/03 16:51","3253","25021212","奉仕のための伝達","真理はなんじらに自由を得さすべし","何事も前向きに捉える","商売は社会のためでないと続かない","人間万事塞翁が馬"
"2022/10/03 16:51","3252","23022434","ペーパーレス","資本主義","人と人が触れ合うコンサル","現場に行くことが商売の一つの基本","マスタリーフォーサービスは一生物"
"2022/10/03 16:50","3251","26022404","対話する能力","クヨクヨしすぎない","前向きにとらえる","前提が社会のためにの儲け","心理が君たちを自由にする"
"2022/10/03 16:50","3250","31022510","情報","周りをしっかり見る","気分転換","あらゆる視点を持つ","マスタリーフォーサービス"
"2022/10/03 16:50","3249","23020069","持続性","自分を磨いて仕事を磨く","同じことをやらない","前向きにとらえる","精いっぱい楽しむ"
"2022/10/03 16:49","3247","27020140","グローバル","真理が自由にする","心に余裕を持ち、周りをよく見る","置かれた環境に対応する","諦めない"
"2022/10/03 16:49","3246","23020046","環境ビジネスは、新しい素材とか原料に切り替えることによって、どんどんビジネスを大きくしていく。","社会人としてのあり方や世の中を知るためにバイトをするのは社会経験になって良かった。","飛び級制度によって3年で大学院に行き、研究室で自分のやりたい研究やテーマにフォーカスして、さらに社会学について学びを深めた。大学から発信されている情報を敏感に受け取ることがチャンスに繋がることもある。","体や時間、気持ちに余裕を持って仕事をする方が上手く事が進んでいく。","社会は私たちにたくさんの人と対話する能力を求めている。"
"2022/10/03 16:49","3245","26020053","伊藤忠は様々な分野をグローバルに展開している","商社は全体の商売をオーガナイザーのように組み立てていく。","毎日自分が成長していくのがわかる","体の余裕より心の余裕の方が仕事に影響を及ぼす","関わってくれている人達が喜んでくれることは大きなモチベーションの一つ"
"2022/10/03 16:49","3244","26022213","自分にとって大切な情報を見逃しているかもしれない","心の余裕を持つ","外の目を持つ","たくさんの人と対話できること","前向きな塞翁が馬"
"2022/10/03 16:49","3243","25022421","自主生","集中力","行動力","環境配慮","学習意欲"
"2022/10/03 16:49","3242","24019717","心を広くもつことの重要性","世の中の動きに逆行するのではなく、あわせにいく","商社企業の各個人にたいして教育が手厚い","やり続けた人が世の中、成功していく","対人関係において、相手をよく知り、互いの共通項を探りお互いのベストが何かをすり合わせていく"
"2022/10/03 16:48","3241","23021143","重要な情報をつかむ","忙しくても心に余裕を持つ","任された仕事をしっかりやりきる","異文化にふれる","多くのことを経験する"
"2022/10/03 16:48","3240","23020457","伊藤忠商事","飛び級制度","情報発信","商売","奉仕のための練達"
"2022/10/03 16:47","3239","24022765","自分に必要な情報を得るための努力をする","周りを見て行動する","外の目を持って自分を失わないようにする","対話を意識する","くよくよしすぎない"
"2022/10/03 16:47","3238","25021380","自分が主体になる。情報まみれのこの世の中で自分の宝はなる情報を自分で掴み取りにいく。","お客様のためになる。＝社会の役に立つ。","心の余裕を持つ。相手に頼み事をするとして、ぶっきらぼうにいうのと丁寧にいうことには1秒しか変わらない。しかし、相手の受け取り方は違う。こういった小さな積み重ねが大切。","180社見に行く根気強さ。自分が業界を絞っていても、見れるところは全部見てみる。","前向きな作用がうま。何があるかわからないからこそ、くよくよせず前向きに捉える。"
"2022/10/03 16:47","3237","24022041","勉強が好きな学生だった","バイトの経験が社会人としての基礎に繋がっている","商品のことを理解して製造先の人と話して、契約をとる","人と交流するのがやりがい","まず自分のことをしって、それから相手のことをしることが異文化の人と交わるときに大事"
"2022/10/03 16:47","3236","26020427","商社は多角的目線で働くことができる","コンビニについて学ぶためにコンビニで働いた","仕事のやりがいは人が喜んでもらえること","大学の掲示板を定期的に見る","体の余裕を失くすより心の余裕を失くす方が仕事に影響が出る"
"2022/10/03 16:47","3235","25021366","大変だとしても挑戦することに意味がある","成功したいなら簡単に諦めてはいけない","学校に行く意味を考える","いい結果にはいい原因があり、悪い結果には悪い原因がある。","機会やチャンスなどは突然やってくるものだ"
"2022/10/03 16:46","3234","24022742","6年間の学びがやりたいことのベースになる。","自分の先を見据えた研究と大学での学びをする。","軸を決めて次の行動をする。","失敗を恐れずにチャンスを掴みもがいて経験を積む。","しぶとく継続することで成功につながる。"
"2022/10/03 16:46","3233","37022004","自分が何にワクワクするか　何をしたくて　何にしたくないか","当時の飛び級制度等、大学からの情報を活用し、自身の将来大事になるようなものを見過ごさない。","大学院:自分のテーマを探し、皆の指摘を受けながら、研究を進めていく場所。","前向きな塞翁が馬→失敗も苦い体験も、それがあるから今の自分がある　と前向きに捉える","自分を磨いて仕事を磨いて、社会にとってプラスになるように意識→mastery for service"
"2022/10/03 16:46","3232","29022204","色んな人と対話する能力を身につける","人間万事塞翁が馬","上手くいかないことがあってもクヨクヨしすぎない","悩みの沼から抜け出す方法を考える","背景が違う人と言葉を交わす"
"2022/10/03 16:46","3231","25022396","将来宝になるような情報が含まれていることがある","自分たちは見過ごしがちである","忙しいのは心を無くしているのと同じである","仕事で必要なのは対話である","まわりがどうなろうともそれに対応していく能力が大切"
"2022/10/03 16:46","3230","39022166","プラスチックの悪い所を減らして良いところを使う","商社の魅力はオーガナイザーとして面白いものが作れる","数多い情報からキャッチすることが大事","今の自分たちは情報を見過ごしすぎ","昨日の嫌な自分をリセットする"
"2022/10/03 16:45","3229","23021102","自分が成長していくのが分かるのが楽しい","体の余裕を無くすより心の余裕を無くす方が仕事に影響が出る","相手のことを見る","自分と相手が違うというところからスタートする","休憩、気分転換が大事"
"2022/10/03 16:45","3228","34020083","巡り合わせ","心の余裕","チームで連携","ヒトを巻き込む","塞翁が馬"
"2022/10/03 16:45","3227","24020839","クリエイト","塞翁が馬","ファイナンス","商人","対話"
"2022/10/03 16:45","3226","23021205","日本人","少数派","前向き","信頼","奉仕のための練達"
"2022/10/03 16:45","3225","37022451","自分のやりたいことをやる","商社は人材育成が手厚い","大学院は自分の研究が学びの中心","心の余裕","悩みすぎない"
"2022/10/03 16:44","3224","25021208","プラスチック","商売を作るのが商人","飛び級制度","前向きな塞翁が馬","嫌だったらやめたらいい"
"2022/10/03 16:44","3223","22022699","環境問題の本質をしっかりと見て、良いところを残しつつ悪いところを改善していく。","忙しいときは心の余裕を大切にする。身体の余裕よりも心の余裕の方がチーム全体に影響するので、チームメイトとお互いに心のサポートをすることが大切である。","新しい環境でも自らの変化や成長に気づく感覚を大切にし、夢中になれれば良い。","自分と仕事を磨くことが社会全体への奉仕となる。","全体への奉仕の気持ちが無ければ自己満足で終わってしまい、社会の役に立つ仕組みに発展しない。"
"2022/10/03 16:44","3222","23021288","大学からの情報発信をキャッチする","どんなに忙しくても心の余裕はある程度持ってないといけない","社会が求めているのはたくさんの人と対話する能力","人間万事塞翁が馬、前向きな塞翁が馬","商売は社会のためにならないと続かない"
"2022/10/03 16:44","3221","22021403","ビジネスをクリエート","自分が主体となって商売を作る","環境ビジネス","奉仕の部分を意識しながら自分を鍛え上げる","嫌だったら辞めたらいい"
"2022/10/03 16:44","3218","24022295","心に余裕がないときにはそのことを自覚する","育った環境が自分と異なる人との対話を重ねる","社会のために行う商売でなければ続かない","出来事の良し悪しは分からないから悩みすぎない","物事を成し遂げている人は最後まで諦めずに立ち向かえる人"
"2022/10/03 16:44","3217","26021502","外から自分を見る視点","国際経験","人の繋がり","社長","変化"
"2022/10/03 16:43","3216","26022356","経済も社会の一部、全てを包括しているから社会学部を選んだ","情報キャッチのアンテナを持つことが未来への投資に繋がる","心の余裕がなければ周りが見えなくなって仕事に支障が出る。忙しくても心のキャパシティを保つことが大事","自分のことを知り、相手のことを知ろうとする姿勢がビジネスにとって必要","失敗してもすぐ反省して、次に向かって走り出す（前向きな塞翁が馬）"
"2022/10/03 16:43","3215","23021126","忙しいという人は心が亡くなっている時","休息は必要","情報をちゃんと見る","対話と会話は違う","日本人は少数派"
"2022/10/03 16:42","3214","34020062","総合商社は何でも屋さん","自分が携わっているものを身の回りで見つけると嬉しい","大学院でより専門的な内容になり自分のテーマについて友達と切磋琢磨した","商社に向き不向きは無いが商売が好きな人の方が比較的向いている","休憩は大切でダイエットドクターペッパーをがぶ飲みするなどの自分なりの気分転換を探しておく"
"2022/10/03 16:42","3213","29022481","大学の情報をよく得て、自分の人生においてベストな4回生を飛び級するという選択肢ができたこと。","お客さんが喜ぶことは社会をよくすること。","みんなアイデンティティが違うから、まずは自分のことをよく知って、さらに相手のことをよく知って、そうする事でお互いの一番ベストを見つけることができ、アイディアを出し合ってビジネスができる。","机の上は片付いている。","みんなを喜ばせることがモチベーション。"
"2022/10/03 16:42","3212","29020425","社会学","伊藤忠","環境はビジネス","休憩は大事","商売"
"2022/10/03 16:42","3211","27020084","環境ビジネス","商社","国際的経験","心の余裕","ファイナンスの知識"
"2022/10/03 16:41","3209","23020587","学校の情報をしっかり確認する","塞翁が馬","外からの目を持つ","たくさんの人とコミュニケーションを取る","真理が自由にする"
"2022/10/03 16:41","3208","37022401","背景が異なる人と言葉を交わす行為である対話が仕事では必要","人生の幸不幸は予測できないものであるが、その結果に対してくよくよしすぎないということ","何かを成し遂げるには最後まであきらめずにやりきる必要がある","世の中の変化に対応できる能力が社会では必要","商売は社会のためにならないと続かない"
"2022/10/03 16:41","3207","26022618","将来の宝になるかもしれない情報を逃さない。","忙しいとき、つい周りが見えなくなってしまう。","自覚という外の目を持つことが大事である。","今しているのは会話だが、社会が求めるのは対話である。","上手くいかなくて、一瞬悩んでも、悩みすぎない。"
"2022/10/03 16:41","3206","23021456","情報キャッチ","飛び級制度","会話と対話","一神教","商売"
"2022/10/03 16:40","3205","24022852","商売で問題解決","情報をキャッチする","心の余裕","対話","塞翁が馬"
"2022/10/03 16:40","3204","26021452","海外経験をして日本との違いを知る","宗教的な考え","会話と対話","奉仕のための練達","自分が主体となる"
"2022/10/03 16:40","3203","23021362","海外で仕事をすると日本人がいかに少数派かを知る","自分を回復する方法を考える","入って数年間は何かの専門家としてのスキルを身につける、その後はその経験を生かしてビジネスをクリエイトする","仕事では対話(違う背景の人たちと話をする)が必要","モチベーションは人との関わり"
"2022/10/03 16:40","3202","24022353","真理はなんじらに自由を得さすべし","人間万事塞翁が馬","三方良し","社会のためになる持続的な商売","思いやり"
"2022/10/03 16:40","3201","25021326","SDGs","プラスチック","向き不向き","人のネットワーク","宗教"
"2022/10/03 16:40","3200","29022248","自分で情報を取りに行く(飛び級の話)","思いかけず宝を得る偶然","行動力","お客様と一緒に走っていく","外の目を無くさない"
"2022/10/03 16:40","3199","26021378","心の余裕","暗黙知","人との関わり","心と心の交流","自分と相手のことを知る"
"2022/10/03 16:39","3198","22021497","人生は自由","ミクロに取り組みながらマクロを組み立てる","企業メセナ","仕事を創る","商売で問題解決"
"2022/10/03 16:38","3197","29022132","自分が日々成長していくことに気づくと楽しい","体の余裕より心の余裕を無くす方が仕事に影響する","関わる人が喜んでくれることがやりがい","まず自分のことを知ることが大事","商社で働くことにあたって向き不向きはない"
"2022/10/03 16:38","3196","23021372","前向きな塞翁が馬","心の余裕","伊藤忠商事の詳細","プラスチック","心と心の会話"
"2022/10/03 16:38","3195","23020146","心の余裕が大事。","仕事は関わる人が大事。","気分転換の方法を見つける。","人それぞれ宗教に大して考えは違う。","死ぬまで練達し続ける。"
"2022/10/03 16:38","3194","26022262","何かのスキルを極める","経験を積む","自分のことを知る","好きなことを楽しむ","大変な時でもひとりよがりにならない"
"2022/10/03 16:38","3193","26021600","使えそうなものには投資する。","心のキャパシティを持つ。","仕事に関わってくれてる人が喜んでいるのがモチベーション。","マスタリーフォーサービスは一生もの。","自分の研究分野を探す。"
"2022/10/03 16:38","3192","29022412","大学からの情報をキャッチ","自分の変化・成長を楽しむ","心の余裕がないのを自覚する","背景の違う人との対話を大切にする","前向きに考える"
"2022/10/03 16:37","3191","23022355","情報を確認すること意識することで将来に変化があるかもしれない","どんなに忙しくても心のキャパシティを持っておかないとチームで連携できない","「忙しい」という言葉は心を亡くすと書く","いつまでも成長し続けるという考え","前向きな塞翁が馬"
"2022/10/03 16:37","3190","26021241","伊藤忠商事","全体を俯瞰しながら自分やチームでアイデアを出し、それを現実化する","人それぞれが研究テーマを見つけていく","自分で商売をやっていく","奉仕のための練達"
"2022/10/03 16:37","3189","24021837","新入社員の頃は、専門的な知識を身につけ、企業する際に活用する。","自分のやりたいことを見つけるには、様々な経験が必要","自分が興味のある学問を学校で見つける","心の余裕が周りとの協力では、不可欠。","経済がどのように社会を作ったか"
"2022/10/03 16:37","3188","27020739","自分を客観視する","忙しいを理由にしない","自分の好きなことを曲げない","会話と対話","前向きな塞翁が馬"
"2022/10/03 16:36","3187","23020340","飛び級制度","会話と対話","三国貿易","真理はなんぢに自由を得さすべし","前向きな採用がうま"
"2022/10/03 16:36","3186","23021025","商売","情報発信の確認","外の目を持つ","宗教価値","対話"
"2022/10/03 16:36","3185","23020207","飛び級制度","会話と対話","前向きな採用","三国貿易","真理はなんぢに自由を得さすべし"
"2022/10/03 16:35","3184","38021525","大学院とは1番に自分の研究というものが出てくる","商社は自分が主体となって商売するというのが大きい","心の余裕を無くさないようにする","自分を知ることと相手を知ることを大事にする","息抜きはしっかりする"
"2022/10/03 16:35","3182","23021218","飛び級制度","情報キャッチ","会話と対話","前向きな塞翁が馬","商売"
"2022/10/03 16:35","3181","25021100","自分が興味を持っているものを学校から入ってくる情報から取捨選択する","経済の知識いつまでもは必要になってくる","学び初めは専門知識をつけてそれを今後の活用に向ける","より多くの情報や経験をして自分に合ったものや、目標を見つける","忙しくなってしまうと周りが見えなくなってしまうので心の余裕をもつ"
"2022/10/03 16:35","3180","23021592","情報をしっかりキャッチする","自分が成長することが楽しい","心の余裕を持つようにする","情報収集の大切さ","自分をよく知り、相手を知ろうとする"
"2022/10/03 16:34","3179","38021578","忙しい=心を無くしている","会話と対話","前向きな塞翁が馬","商売は社会のためにならないと続かない","真理はなんぢらに自由を得さすべし"
"2022/10/03 16:34","3178","25022228","経済的に見たら24時間経営のコンビニは特殊","ユダヤ人が今の商売の基本を作った","対話は自分と背景が違う人たちと話すこと","仕事で必要とされるのは、会話ではなく対話","あんまりクヨクヨせず、前向きな姿勢が大切"
"2022/10/03 16:34","3177","29021234","情報をキャッチし活用する","心身の余裕をもつ","人として成長する","マネジメント能力","前向きな塞翁が馬"
"2022/10/03 16:33","3176","26020272","善意は役立たない。仕組みに答えがある。","前向きな塞翁が馬","お酒の文化交流","仕事のやりがい","人との関わりがモチベーション"
"2022/10/03 16:33","3175","24022060","伊藤忠という商社は多くの部署を持ち多岐に渡る事業をグローバルに展開している","心の余裕のなさは仕事に影響を及ぼす","世界を相手にするためには心と心を通わせようとする姿勢が大切","自分を磨き仕事を磨き、その結果社会のためになることが「奉仕の練達」","例えばスープに多くの具が入っているほうが美味しいように自分の美味しいと思うものだけを取捨選択していく"
"2022/10/03 16:33","3174","24022491","環境ビジネスは色々な部署が横断的にやらないと商売の形にならない","どんなに忙しくても心のキャパシティをある程度もっておかないとだめ","自分の事を知ることと相手の事を知ることは大事な姿勢","死ぬほどやったってアイデアは出てこない","前向きな作用がうま"
"2022/10/03 16:32","3173","26020569","トレード","投資","新規開発","海外駐在","出資"
"2022/10/03 16:32","3172","36022324","掲示板をよく見る","たくさん調べる","外の目を持つ","忙しいと思い込まない","自分と相手のことを知る"
"2022/10/03 16:32","3171","24021420","やりたいことをやる","大学からの情報を集める","就職活動では何百社もの情報を調べて集める","対話の感覚を磨く","国際感覚をみにつける"
"2022/10/03 16:32","3170","29022094","とにかく仕事が楽しい","自分が成長していることを実感できると楽しく思える","身体的な余裕よりも精神的な余裕の方が大事","関わってくれている人を喜ばせたい","反省し、すぐに改善する"
"2022/10/03 16:32","3169","26022462","興味のない情報の中に宝がある","相手の人を見る","忙しいと周りが見えない","対話とは違う環境の人と話すこと","社会に出てからは対話が求められる"
"2022/10/03 16:31","3167","22022419","心の余裕","自覚","自分の事を知る","気分転換をする","前向きが塞翁が馬"
"2022/10/03 16:31","3166","29020395","宝になるような情報","経験を活かす","忙しい","心をなくす","思いやり"
"2022/10/03 16:30","3165","22021813","挑戦することの大切さ","様々な経験を積む事の大切さ","自分を追い込む事の大切さ","客観的に自分を見てみる(客観視してみる)","時に思い切った選択をすることの重要性"
"2022/10/03 16:30","3164","23020308","死ぬまで練達を続けること","体の余裕より心の余裕が大事","仕事でのやりがいは関わってくれる人に影響する","自分なりの気分転換を見つけること","人それぞれによって宗教の考え方は違う"
"2022/10/03 16:30","3163","22022557","心のキャパシティは心労と繋がる、休むことも大切","失敗したり立ち止まったりしても、しっかり反省した後はくよくよしすぎずに前に進む","就活について、180社の説明を受けたこと","商社→自分の力で人々に商売する仕事","グローバルな社会"
"2022/10/03 16:30","3162","29021203","嫌なことは長くは続かないし、自分の成長につながる","商社の面白みはチームでアイデアを現実化すること","「前向きな塞翁が馬」","忙しいときも心の余裕をなくさない事が大切","商社で働くことに向き不向きは無いが、商売が好きな人はやりやすい"
"2022/10/03 16:29","3161","24021106","多くの情報の中にある自分にとっての宝を見つけられるように意識する","自分を知る、そして相手を知る姿勢が大事","前向きな塞翁が馬","「対話する」という感覚を身につける","自分なりのリセットの方法を知る"
"2022/10/03 16:29","3160","24021242","飛び級制度など、大学の制度は大学側が積極的にアナウンスしてくれるとは限らないので常に情報収集を行うことが大切。","就職活動はとにかく情報戦なので、集めうる限りの情報を集めておくといい。","忙しくなると人は心の余裕を無くしがちになるので、自分でそのことを自覚し、立ち振る舞いを見直すことが必要。","暗黙知、という言葉があるように、アルバイトなどを通じて社会のことを知っていけることもある。","世界の人と関わる際には日本での常識は通用しないことを念頭におかなくてはいけない。"
"2022/10/03 16:29","3159","24022042","情報を見逃さない。","自負を持ち外の目を持つ","関わってくれる人が喜んでくれること。","自分のことと相手のことを知る．","人間万事前向きな塞翁が馬"
"2022/10/03 16:28","3158","26022152","自分を知り、相手を知る","宗教観の違いに気をつける","仕事でのリフレッシュや休憩は必要","前向きな塞翁が馬","心に余裕を持つ"
"2022/10/03 16:28","3157","22022165","大学からの情報発信をキャッチする","興味のないような情報に自分の宝になるような情報が埋もれてる","忙しいのを自覚するのかしないのか","会話よりも対話を大切にする","社会のために儲ける"
"2022/10/03 16:28","3156","26022060","コンビニには他の商売にはない24時間売れるという特殊な商売である","心の余裕を持つことで周りの人に気を使うことができる。","世界の人々と仕事をするということは文化がお互い違うので、相手の文化を理解するととともに、自分の文化を知ることも重要","仕事は何が良くて何が悪いことが分からないことが多いので、失敗にクヨクヨせず、反省して切り替えることが重要。","心のゆとりがないと仕事では良いアイデアがないことが多い"
"2022/10/03 16:27","3154","23021031","心の余裕","自分の好きなことを見つける","お酒の文化を利用","休むことも大切","ポジティブ思考でいる"
"2022/10/03 16:27","3153","26022120","自覚するのかしないのかが人間性の差としてでてくる","仕事で必要なのは対話","対話を通して信頼関係を築く","悩みすぎず前向きな考えをもつ","新たな発見を通じて答えを見つける"
"2022/10/03 16:27","3152","24022152","情報収集の大切さ","たくさんの情報の中に自分にとって大切な情報が紛れている","信頼関係の大切さ","忙しいとは心を無くしている","忙しくなると周りが見えなくなる"
"2022/10/03 16:26","3151","23022370","自分の将来にとっての宝のような情報が埋まっている","態度や全てを改め直す","忙しいことは心を無くすことと一緒","会話と対話の考え方","一瞬悩んでも悩みすぎない"
"2022/10/03 16:26","3150","26022395","デスクは綺麗ないなほうが効率よく仕事ができる","情報を知ることは自分の夢につながる","まず自分を知ってから相手を知る","商売は社会のためにならないと続かない","真理はなんぢらに自由を得さすべし"
"2022/10/03 16:26","3149","22020921","心の余裕がないと仕事がうまくいかなくなる","反省してすぐに次の仕事に向かうことが重要","海外を相手にする際は自分も相手も正しく理解する","自分の変化を楽しむ","商売は相手を理解することが重要"
"2022/10/03 16:26","3148","34022228","綺麗な机は効率が上がる","自分のことを知り、相手のことも知る","関わっている人の喜びを仕事のやりがいに","前向きな塞翁が馬","嫌であれば逃げても良い"
