回答日時,受付番号,学籍番号,1,2,3,4,5
2023/5/2 8:12,1736801,31021068,やると決めたら楽しむ。,自分で考えて自分で行動する。,自分のペースを大切にする。,自分の能力に限界を決めない。,新しいことにチャレンジする。
2023/5/2 8:06,1736797,23021173,自分がこれをやるという仕事を宣言する,やると決めたら楽しむ,自分はどんな人間なのかダイレクトにわかる仕事,満足せずに伸びしろを探す,きた波には乗る
2023/5/2 8:05,1736796,25023494,何事もやると決めたら楽しんでやる。,誰かに役立っているという実感がある、というやりがいの元で仕事に取り組まれている。,常に新しい問題や法律が生まれる中で、それらにひたむきに向き合い勉強していかなければならない。,来た波、その波を起こしてくれた人に対して、誠心誠意返せるように仕事に取り組む。,裁判など何事において負け試合じみていても、引き分けに持っていけるように最後まで熱意をもって取り組む。
2023/5/2 7:59,1736781,31020606,法律にはまってから次々とわからないところをつぶしていく,やると決めたら楽しむ、嫌だと思うとできない,辛さを感じないぐらい毎日必死であった,関学なしに今の私は語れない,熱意のある人
2023/5/2 7:55,1736777,31023375,挑戦は楽しむ,人との繋がり,努力は報われる,継続は力なり,多様な学び
2023/5/2 7:51,1736772,31023391,司法試験,マイペース,周りに振り回されることなく,励まし合う,弁護士
2023/5/2 7:47,1736768,25023238,自分の好きなことはどんどん宣言していくとよい。,やると決めたら最後まで楽しめば苦じゃない。,昔も今も不安は常につきまとうものだが、それとうまく付き合えばいい。,早いうちから実技をこなしていけば、あとあとかけがえのない経験となる。,弁護士は第三者の立場から、依頼者の未来にとって何がいいかを考える仕事。
2023/5/2 7:46,1736765,26023482,波が来たらのる,決めたことは楽しむ,辛さを忘れるほど必死になる,実績を上げて周囲からの信頼を得てそして自分の自信につなげる,好奇心で自ら足を運び体験する
2023/5/2 7:40,1736759,31023330,楽しい,マネジメント,しっかり大学で勉強する,友達大切,自分自身についてよく知る
2023/5/2 7:36,1736755,29023348,消去法で法学部,これからは政治の時代,司法試験は難しい,最初大学に行くつもりはなかった。,大学卒業してすぐ結婚した。
2023/5/2 7:23,1736745,38023587,やると決めたらやり切る,実績から信頼になり自信になる,自分のことがちっぽけに感じれると大人になった印である,逆転のような経験をする,自分とは違う視点
2023/5/2 7:21,1736744,29022132,知らないと怖いものはない,やると決めたら楽しむ,弁護士の仕事は第三者的に全力を尽くすこと,弁護士は枠がないので何でもできる,法の勉強をした知識は絶対に無駄にならない
2023/5/2 7:19,1736743,23022168,やると決めたら楽しむ,好奇心を持って取り組む,自分のペースで進む,実績、信頼、自信,任されたからには目の前のことに集中して、全力で取り組む
2023/5/2 7:13,1736741,31023311,学生時代の留学経験が語学の自信につながる。,司法試験に独学で学ぶ勇気を持って取り組む。,新人の頃から重大な仕事を任されたことが後々役にたった。,なにをしても責任をとってくれるボスのおかげで迷惑をかけたくなくて、いろいろ頑張れた。,いろいろな仕事があるけれどどれも真剣勝負と思って取り組む。
2023/5/2 7:10,1736740,25021202,司法試験,楽しむ,ボス弁,霞が関,社会の役に立つ仕事
2023/5/2 7:01,1736735,25023393,嫌だと思ってしまうとやる気が起きないので、やると決めたらしっかりと楽しんでやる。,第三者の視点を保持することが将来を見据え、最善の選択をする上で重要である。,全てが役に立つと言えるわけではないが、自分には役に立つことがあるから学ぶことは重要である。,一つ一つの物事に真剣に取り組むからお金がもらえるのであって努力しないとお金は降ってこない。,目の前の仕事に興味を持っている時は健康に気を配って仕事に取り組むことが重要である。
2023/5/2 7:00,1736734,29022488,やると決めたらやる,関学同窓のネットワーク,消費者法,大阪では珍しいホームページに顔出し,テレビ出演
2023/5/2 6:56,1736732,39021011,自分を小さな存在だと感じたときが大人の始まり,実績を上げることで信頼を得ることができ、それが自信につながる,仕事をオファーしてくれた人に対して誠心誠意応える,来た波には乗る,やるときめたら楽しむ
2023/5/2 6:46,1736729,38023593,法律が改定されるたびに新しいことを学び続けなければいけない。,自分の実績を上げていくことが自分が自信を持つために1番重要なことである。,一度すると決めたことは何事も楽しんで行うことが大切である。,一人称の視点ばかりで物事を見続けるのではなく第三者の視点を借りて物事を考えることも大切,ボスが様々なことを自分にまかしてくれたおかげで成長できた
2023/5/2 5:25,1736704,26022032,やると決めたら楽しむ！,自分で考えて自分で行動する,実績でかえし、信頼をえて、自信がつく,やり切る力,プライドを持つ
2023/5/2 5:21,1736703,22021223,やると決めたら楽しむ,どんどん新しいことにちょうせんする。,好奇心をもつ。,楽しめば自分も前向きになる。,楽しむを決めるのは自分だ。
2023/5/2 5:06,1736701,26023393,やると決めたら楽しむ,自分で考えて自分で行動する機会を作っていく,人との出会い、繋がりを大切にする,色んな場所に自ら赴いて経験を積んでいく,なにかのキッカケになるものを逃さないようにする
2023/5/2 4:52,1736698,26020532,やると決めたら楽しむ,役に立つ喜び成功体験,挫折は大人の始まり,来た波には乗る,目の前のことに集中する
2023/5/2 4:43,1736696,29021522,弁護士,集中,しっかり楽しむ,自ら行動,正のスパイラル
2023/5/2 4:13,1736693,24020405,やると決めたら楽しむ。,自分で考えて自分で行動する。,良いボスと巡り合えて、成長できた。,アルバ、授業、サークル活動、いろんなことに価値がある。,弁護士は、人の役に立てるのが実感できる。
2023/5/2 4:12,1736692,23021075,やると決めたら楽しむ,物事を第三者的な目線で見る,自分が役に立っているとわかる大切さ,きた波に乗る,好奇心をもって行動し、体験する。
2023/5/2 3:54,1736686,29022501,やると決めたら楽しむということ,来た波には乗る,自らの足で現場に足を運び、いろんなことを経験すること,自分が嫌だったことは授業内ではしない,自分が努力しない限り得られるものはない
2023/5/2 3:33,1736677,22022103,人との出会い,他者の利益,来た波には乗る,仕事は真剣勝負,関学のネットワーク
2023/5/2 3:33,1736676,26020303,自分でやると決めたことは楽しむ,自分に依頼された仕事は基本断らない（できると思って依頼してもらっているから）,いろいろなことに好奇心をもっていろんな場所に実際足を運ぶ,弁護士はお金がいっぱいもらえると思われているけど、お金は降ってこない。自分でつかみに行く。,人との出会いが様々な仕事を生み出す
2023/5/2 3:19,1736674,39023040,来た波には乗る,第三者目線で考える,自分で考えて自分で行動する,やると決めたら楽しむ,今のことだけじゃなく今後のことも考える
2023/5/2 2:53,1736668,31023334,勉強,資格,主張,熱量,法律問題
2023/5/2 2:46,1736667,23021299,やると決めたら楽しむ,第3者的な視点を持たないとダメ,きた波に乗る,努力しない限り得られるものはない。全て真剣勝負,関学という看板があってのお付き合いが始まる
2023/5/2 2:41,1736664,23022588,やると決めたらやる、楽しむ,自分の存在のちっぽけさに気づくことが大人になると言うこと,自分の利益より他者の利益のために,弁護士という職業は、自分が努力しないと得られるものは無い,大学で得られるのは、人と人の繋がり、友達との付き合い
2023/5/2 2:25,1736660,23020631,やると決めたら楽しむ,自分自身で考え行動すること,大学での勉強の重要性,自主的に行動すること,目標を細かく決めていくこと
2023/5/2 2:25,1736659,22022221,司法試験,裁判所の証人尋問,ボス,クライアント,会社の経営
2023/5/2 2:25,1736657,37021211,やると決めたら楽しむ,第三者的な目線,来た波に乗る,実績、信頼、自信のスパイラル,好奇心をもっていろいろなことを経験する
2023/5/2 2:22,1736655,34023132,勉強するのがとにかく楽しかったから苦ではなかった。,世の中は法律によってできている。,知識しかないところに事例を与えられるから不安だらけだった。,弁護士の仕事は第三者的に全力を尽くすこと。全体を俯瞰して依頼者にとって何がいいかを考える。,波が来たらのる。
2023/5/2 1:49,1736643,38023583,やると決めた前向きに楽しむことが大事。,負け試合であってもあきらめない熱意を持つこと。,自分のちっぽけさを感じてからが大人の始まり。,自分で考えて自分で行動することが今後につながる。,好奇心を持ち自らが体験することに意味がある。
2023/5/2 1:48,1736642,23021635,自分のペース,やると決めたら楽しむ,俯瞰,信頼関係,好奇心
2023/5/2 1:46,1736641,29022417,来た波は逃げずに乗ることが大事,新しいことには挑戦すること,他人のためになることを常に探す,社会に出たら人との出会いが自分の救いになる,自分のことが小さいと思うことが大人への始まり
2023/5/2 1:37,1736637,29022086,アカデミックな視点と実践力を併せ持つ人材に成長することができる。,インターシップ参加へ繋げれる。,親身なキャリアサポートを受けることができる。,グローバルな環境,上ヶ原キャンパスの校舎が美しく素晴らしいとゆうこと。
2023/5/2 1:35,1736635,22020107,やるからには楽しむ,来た波には乗る,一つ一つの仕事が全て真剣勝負,自分の意思で楽しむ,好奇心を持って色んなことをする
2023/5/2 1:24,1736631,23021087,やると決めたら楽しむ,きっかけ,来た波には乗る,出発点,関学なしには今の私は語れない
2023/5/2 1:23,1736630,24021417,人の感情を理解する能力が高いように見えて、なんでもいいたいことを言ってしまう。傾聴することが出来ない,自分の知識の使い方が大切,新しい仕組み（システム）に追いつくのが大変。前例がないから難しい,来た波に乗ること。迷う事や否定的になることもあるが、乗ってみる。そこに新たな始まりがあるかもしれない,弁護士は人の役に立っていることが実感出来る仕事である
2023/5/2 1:17,1736629,29020112,やりたいこと、楽しいことに集中,やると決めたら楽しむ,楽しむと決める,自分の存在が小さいものであると気づくことが大人の始まり,自分の仕事は社会に役立つ仕事であるとプライドを持つ
2023/5/2 1:12,1736623,23020620,やると決めたら楽しむ,努力,人の役に立つ,実績→信頼→自信,好奇心を持って自ら体験する
2023/5/2 1:06,1736622,24020780,やると決めたら楽しむ。,楽しんでやってきたが競ったことがなく発言のハードルが高かった。,新人時代大変だったのは一生懸命やっても説得力がなく不安に思われてしまう。,出来ませんとは言えなかった。いやだからやりませんという感覚はなかった。,弁護士の仕事は第三者的に全力を尽くすことだ。
2023/5/2 1:04,1736621,31023368,実務のことばかり教えても試験対策としては不適当,専門分野は自分が好きなものを宣言すること,やると決めたら楽しむ,知らないことは怖いものがないこと,傾聴
2023/5/2 1:03,1736620,25021075,やると決めたら全力で楽しむ。,法律の勉強は無駄にならない。,政治学科から弁護士になる人もいる。,目の前にある仕事をこなす。,同じ目標へ向かって頑張った仲間は支えになる。
2023/5/2 0:57,1736616,31022051,やると決めたら楽しむ,自分が興味あることは何かを見つける,思い通りにいかないこともある,責任を持って行動する,成功するには変化も必要
2023/5/2 0:47,1736610,23020109,やると決めたら楽しむ,周囲を気にせずマイペースで良い,チャレンジ精神,知らなければ怖いものはない,語学を学ぶ
2023/5/2 0:46,1736609,37021408,やりたいことだけに集中する,やると決めたら楽しむ,自分のことをちっぽけに感じる時がくれば大人,若い時から自分で考えて行動する,実績、信頼、自信の正のスパイラルを作る
2023/5/2 0:23,1736597,32021071,やると決めたら楽しむ,来た波には乗る,一つ一つの仕事にはすべて真剣勝負,実績を上げることで、信頼を得て、それが自信につながる,好奇心を持って自ら体験、経験する
2023/5/2 0:19,1736594,25023120,専門分野とは自分の好きなものを宣言することだ,知らないと怖いものはない,やると決めたら楽しむ,自分をちっぽけだと思うことは大人の始まり,第三者的に全力を尽くす
2023/5/2 0:18,1736593,34019220,やると決めたら楽しむ,競う,違う視点から,スタート,信頼関係
2023/5/2 0:12,1736587,31023110,やると決めたら楽しむ,逃げない,ポジティブ,俯瞰的に見る,好奇心
2023/5/2 0:11,1736585,26023505,やると決めたら楽しむ,人の役に立つ,努力しない限り得られるものはない,実績が信頼になり、信頼が自信になる,好奇心を持って自ら足を運んで経験にする
2023/5/1 23:57,1736572,23022283,出会い,チャンスを逃さない,やると決めたら楽しむ,キャリアの正のスパイラル,1歩引いて俯瞰してみる
2023/5/1 23:47,1736563,29023233,やると決めたことは全力で楽しむ,相談に乗った時相手の表情が明るくなるとうれしい,弁護士の魅力は人の役に立っていることを実感できること,知らないと怖いものはない,関学画全ての出発点
2023/5/1 23:45,1736561,26023074,来た波には乗る,大変なことでも逃げずにやると決めたら楽しむ,全て寄り添うのではなく自分のことも考えて第３者の観点から考える,一つ一つのお仕事に全て真剣勝負,自分の知識を自分の利益のためだけではなく他者の利益のために活用できるかを探し続ける
2023/5/1 23:42,1736558,22020892,やりきる力がある。,信頼を得ることで自信が生まれる。,来た波にはのる。,つながりを大切にする。,関学生であることを誇りに思っている。
2023/5/1 23:39,1736552,23022622,やると決めたからには楽しむ。,熱意を持ち続ける。,やり切る力が重要。,実績が信用になる。,波には乗れるように。
2023/5/1 23:39,1736551,23022214,やると決めたら楽しむ。,責任を取ると言われると逆にミスをしてはいけないと思い、逆効果になることもある。,弁護士になったからといって稼げると決めつけるのは早合点。,テレビに出たからといって客が増えるわけでもない。親近感が湧くだけで、逆効果もあるかも知れない。,自分が役に立っているとダイレクトにわかる仕事が弁護士。
2023/5/1 23:37,1736549,31023520,この世の中は法律で回ってる。,やると決めたら楽しむ。,弁護士の仕事は第三者的に全力を尽くすこと。,来た波には乗る。,好奇心を持って現場に足を運んで自ら体験してそれを経験にする。
2023/5/1 23:33,1736544,22023478,専門分野とは自分の好きなものを宣言すること。,自分の中で宣言したら仕事と経験と知識が増えた。,大人になって色々なことを経験すると自分がちっぽけに思える。,お金は降ってこないので自分から動く。,好奇心を持ち色々な現場に足を運んで自ら体験して経験にしてほしい。
2023/5/1 23:28,1736534,24022424,やると決めたら楽しむ,俯瞰的に見る,傾聴,信頼関係,波が来たら乗る
2023/5/1 23:24,1736528,25023212,やると決めたら楽しむ,来た波には乗り、誠心誠意対応する。,たいていの仕事は断らない。,弁護士とは人の役にたてることを実感できる仕事。,実践を上げることによって信頼を得て、それを自信につなげる正のスパイラルが大切。
2023/5/1 23:24,1736526,39023143,弁護士の仕事は裁判より会議のほうが多い,裁判は法廷での話し合いより書面づくりのほうが大変,大変だったことは今までなかった新しいものなどの法律はどうなるのかわからないこと,仕事は真剣勝負,やると決めたら楽しむ
2023/5/1 23:24,1736525,26021265,自身の能力に限界を決めない。,新しいことにチャレンジしてみる。,仕事の内容はイメージしているものと異なる場合があるのでしっかり調べる。,やると決めたら楽しんで行なう。,自分で決めて自分で行動する。
2023/5/1 23:23,1736524,29022362,やると決めたら楽しむ,第三者の視点が大切,来た波には乗る。そうすると何か新しいことが始まるかもしれない。,自分が努力しない限り得られるものはない。,弁護士は人の役に立っていることがダイレクトに伝わる仕事
2023/5/1 23:17,1736512,25023597,やると決めたからには、楽しむ,楽しむことは選択できる,人の役に立ちたい,関学に入った時から人生がスタートした,実際に足を運んで実際に経験することが大切
2023/5/1 23:14,1736504,22021018,やると決めたら楽しむ決めたならばそれを全力で楽しむこと、またそのために決定が重要になってくる,傾聴相手の立場に立ち、相手の話に共感しながら話を聞くことで相手との信頼を強める,来た涙には乗る声をかけていただいているのならばその話には乗るようにする,全てに真剣勝負一つ一つの仕事に対して真剣に取り組むことを心がけている,人の役に立っていることを実感弁護士はダイレクトに人の役に立っていることを実感することができる
2023/5/1 23:13,1736502,34023271,やると決めたことは楽しんでやること,弁護士の仕事は依頼者と同じ立場でなく、第三者的に全力をつくすこと,知らないことに興味をもつこと,勉強を楽しめること,新しいことにチャレンジすること
2023/5/1 23:09,1736496,25023572,やると決めたら楽しむ、それに集中すること,決断が鈍るというのは情報が十分にないということ,伸びしろがあると自分に満足しない,自分が努力しない限り、何かを得られることはない。１つ１つの仕事は真剣勝負,実績を積むことで他の人からの信頼を得ることができ、それが自分に対する自信につながる
2023/5/1 23:07,1736491,26020311,やると決めたら楽しむ,若いうちから様々なことを経験,ゆっくりと時間をかけて傾聴,自分の人となりを分かってもらうこと。,一つ一つの仕事に真剣勝負
2023/5/1 23:00,1736481,23020005,やると決めたら楽しむ,弁護士の仕事は第三者的に全力を尽くすこと,知らないことのほうが興味深い,頼んだ後にこんな人だと思われたくなかった,努力をしない限り得られるものはない
2023/5/1 23:00,1736479,25022213,専門分野というのは好きな分野を宣言することである,自分自身をわかってもらう必要がある,意図をもって何でもやってみるということ,支えあったという経験が大事,法律問題は決断するということの連続であるということ
2023/5/1 22:59,1736478,25023596,やると決めたら楽しむと決める,いい人に巡り会えるかどうかは運の部分もある,関西学院大学での学生時代の繋がりが仕事につながった,本当に正しいことでも明確な証拠がないと意味がない,まずは存在を知ってもらうことが大切
2023/5/1 22:57,1736474,24021406,声をかけてもらえたのならのってみよう,専門分野は好きなことを宣言すること,やったことがないことがやりたいことだった,弁護士は人の役に立っていることが実感できる仕事,やると決めたら楽しむ
2023/5/1 22:51,1736461,29023323,自分がやりたいことをやる,焦らない,他の人の役に立つ,やると決めたことは楽しむ,自分が好きなことを宣言する
2023/5/1 22:48,1736456,22021554,やると決めたら楽しむ,第三者的に最善をつくす,実績と信頼,自信,自分で考えて行動する
2023/5/1 22:38,1736432,23023619,弁護士は法廷に立つ裁判だけでなく、会議や書類づくりにも時間をかけている,司法試験の勉強は実践的に使える知識ではないこともある,私たちの世界は法律でできている,人から声をかけられることは自分に任せたら何とかしてくれるだろうという期待を背負うこと,やるときめたら楽しんでやる
2023/5/1 22:37,1736424,29023317,やると決めたら楽しむ,自分のちっぽけさを理解してからの頑張り,自分で考えて自分で行動することの大切さ,新しくできた法律に対する対応のむずかしさ,物事を前向きに考えることのすばらしさ
2023/5/1 22:24,1736407,25023112,相手を信頼する,信頼をされる人になる,やりたいことはやってみる。失敗を恐れない,仕事を楽しむ。,人生は永遠の勉強
2023/5/1 22:17,1736395,25023347,やると決めたら楽しんでやる←そう思える純粋さが大事自分の意志で判断、行動する,熱中するのはいいことだが入り込みすぎるのはダメ：第三者的（客観的）な見方をするべき,いろんな人と関わることで自分の存在の小ささを知ることが大人の始まり：子供の時には考えなかったこと,好奇心を持ち自ら足を運んで経験することが大切例）インターン、バイト、授業これらを楽しんでやる,来た波に乗る：波を作った人に誠心誠意対応する実績→信頼→自信の循環を作る
2023/5/1 22:01,1736371,29022277,自分の好きな分野を宣言する,波が来たら乗る,全部自分がやるものだと思ってこなす,自分の小ささに気づくのが大人の始まり,やると決めたら楽しむ
2023/5/1 22:00,1736368,29022524,やると決めたら楽しむと決める,自分が努力しない限り何も得られるものはない,前向きに何事も捉えられないといずれしんどくなってしまう,良い人ボスに出会う運も必要である,足を運んで自ら経験して多くのことを学ぶことが必要
2023/5/1 21:59,1736366,29022259,今のひとたちは社会のスピードが昔より早くなったため自分のやりたいことがすぐ出てくる,自分に仕事を任したいという人に出会える,NHKはCMを流さないけどそのNHKに20分間CMを流すようなことができる,シラバスを作るのが大変,ロースクールは学部と比べて授業の熱も生徒の熱も高い
2023/5/1 21:35,1736318,25023621,やると決めたら楽しむ,楽しむは自分の意思で決めること,波に乗り、誠心誠意、実績で返す,信頼が自信に繋がる,正のスパイラル
2023/5/1 21:20,1736301,25019266,やると決めたら楽しむようにしよう。,自分が役に立った時の喜びを感じること,実績-信頼-自信のスパイラルで自分を成長すること,波が来たら乗るようにすること,学生時代を大切にし、色んな経験を重なって自分自身を成長しよう
2023/5/1 21:13,1736291,24020295,やると決めたら楽しむ,自分が不満だと思ったことはしない,来た波に乗る,信頼関係を築くために、聞かれる前に連絡する,実績→信頼→自信
2023/5/1 21:10,1736288,23022426,プライドを持つ,波が来たら乗る,自分で考えて自分で行動する,上司は選べない,楽しむことは自分の意思で決めること
2023/5/1 21:08,1736287,23020578,自分の中では否定的であっても、自分のもとへ来た波には乗る,自分で何か努力しない限り、何も得ることは出来ない,信頼関係の中でも聞かれる前に相手に伝えることは大事,好奇心を持って自分の足を使って様々な体験をすることで将来へ繋がる良い経験となる,自分で考えて自分で行うという環境は自分をより成長させることができる
2023/5/1 21:08,1736286,34023280,どうせやるなら楽しむ,自分がちっぽけに見えるには大人になている証拠,インターネットにばかり頼らず、好奇心を持って、現場に足を運び、実際に体験し、経験することが大切。,経験は成功を生み出し、成功は自信になり、その自信が動力となり、今現在も頑張り続けれる継続力となる。,弁護士に限らず、自分が蓄えてきた知識、経験を人のために活用できることは素晴らしいこと。
2023/5/1 20:58,1736271,25023220,伸びしろがあると自分に満足しない,勉強をしてるのが楽しかった,実績をあげることで信頼を得られる,自分が努力をしない限り何か得られるものは無い,自分の知識を誰に使うのか
2023/5/1 20:54,1736268,26023191,やると決めたら楽しむ,まだ自分には伸び代があって、まだ満足していない。,来た波には乗ってみる,自分の足で直接その環境に行ってみる。,人と環境に恵まれた
2023/5/1 20:53,1736263,29023293,明確な夢が決まってなくても消去法で何とかなることもある。,諦めない心。司法試験に2回落ちても諦めず3度目で合格できたのは凄い。,夢はいくらでも持てる。留学することは実現できなかったが海外に飛び立つことはできたから。,自立。アルバイトで貯めたお金で授業料を返済していたのがすごい。,新しいことに挑戦。今だからできる色んなことに挑戦して将来のことを決めるきっかけを作る。
2023/5/1 20:44,1736249,23020604,教育,テレホンカード,クライアント,ロースクール,やると決めたら楽しむ
2023/5/1 20:41,1736244,29023361,やると決めたら楽しむ,全体を俯瞰的にみる視野を持つ,仕事はひとつひとつすべて真剣勝負,チャンスが来たら波に乗る,教えるときは自分が学生時代不満だったことは授業ではしないようにしていた
2023/5/1 20:37,1736242,29022341,まだまだ伸び代があると思っている、自分に満足していない,やると決めたら楽しむ,必死に打ち込むことができる、打ち込んでいる最中に疑問は持たない,弁護士という仕事は、人のお役に立てられることが魅力,インターネットだけに頼らず、好奇心を持っていろんな現場に足を運んで自分の経験にしてほしい
2023/5/1 19:55,1736188,29022297,信頼を得るために成果を上げなさい。結局は自分次第だ,機会が来れば機会を作る人がいるものだからその人のためにも努力しなさい,自分がすることに決めたことは楽しもう,自分ができないと感じるのは大人になる一歩だ,自分で考えて行動に移すことは未来を作ることにつながる
2023/5/1 19:40,1736170,25021137,やると決めたら楽しむこと,俯瞰的に見ること,若手の経験とその後の成功体験,自分がちっぽけに感じる時,インターンなど現場に出てみること
2023/5/1 19:37,1736167,39023012,好奇心を持って足を運ぶ,さまざまな経験をして学生生活を過ごす,やると決めたらやる,記憶がないくらい毎日が必死,新しい仕組みについていくのがしんどい
2023/5/1 19:31,1736162,29020477,傾聴,来た波に乗る,聞かれる前に連絡する（信頼関係の構築）,実績と信頼と自信の好循環,やると決めたら楽しむ
2023/5/1 19:29,1736160,23022131,やると決めたことは全力で楽しむこと,努力をしないと何も得られないため必死に物事に取り組む姿勢が大切である,何事にも興味を持ってみる,学ぶことは終わらないこと,実績をつくることで信頼を得て自信につながること
2023/5/1 19:14,1736141,37023229,やると決めたら楽しむ,自分自身のちっぽけさ,自ら考え、行動することの大切さ,仕事は社会貢献,自らの仕事にプライドを持つ
2023/5/1 19:03,1736129,29022265,波が来たら乗る,やると決めたら楽しむ,自分のペースを大切にする,新しいことにチャレンジする,俯瞰的な視点を大切にする
2023/5/1 19:00,1736127,22023568,やると決めたら、楽しむ,自分で考えて、自分で行動する,波になる,実績をあげ、信頼を得る。,やり切りの力
